SampleId,model,compartment
neutral_1256-012-C121-M,neutral,Mucus
neutral_1256-019-C123-M,neutral,Mucus
neutral_1256-022-C127-M,neutral,Mucus
neutral_1256-025-C128-M,neutral,Mucus
neutral_1256-028-C129-M,neutral,Mucus
neutral_1256-040-C143-M,neutral,Mucus
neutral_1256-043-C144-M,neutral,Mucus
neutral_1256-046-C145-M,neutral,Mucus
neutral_1256-049-C148-M,neutral,Mucus
neutral_1256-056-C150-M,neutral,Mucus
neutral_1256-059-C151-M,neutral,Mucus
neutral_1256-062-C152-M,neutral,Mucus
neutral_1256-064-C153-M,neutral,Mucus
neutral_1256-068-C327-M,neutral,Mucus
neutral_1256-071-C328-M,neutral,Mucus
neutral_1256-101-PW164-M,neutral,Mucus
neutral_1256-104-PW165-M,neutral,Mucus
neutral_1256-107-PW166-M,neutral,Mucus
neutral_1256-110-PW167-M,neutral,Mucus
neutral_1256-113-PW168-M,neutral,Mucus
neutral_1256-116-PW169-M,neutral,Mucus
neutral_1256-120-PW170-M,neutral,Mucus
neutral_1256-123-PW171-M,neutral,Mucus
neutral_1256-126-PW172-M,neutral,Mucus
neutral_1256-129-PW174-M,neutral,Mucus
neutral_1256-132-PW175-M,neutral,Mucus
neutral_1256-134-PW176-M,neutral,Mucus
neutral_1256-137-PW177-M,neutral,Mucus
neutral_1256-140-PW178-M,neutral,Mucus
neutral_1256-143-PW181-M,neutral,Mucus
neutral_1256-145-PW182-M,neutral,Mucus
neutral_1256-148-PW183-M,neutral,Mucus
neutral_1256-152-PW185-M,neutral,Mucus
neutral_1256-155-PW186-M,neutral,Mucus
neutral_1256-158-PW187-M,neutral,Mucus
neutral_1256-161-PW190-M,neutral,Mucus
neutral_1256-163-PW191-M,neutral,Mucus
neutral_1256-165-PW192-M,neutral,Mucus
neutral_1256-169-PW193-M,neutral,Mucus
neutral_1256-172-PW194-M,neutral,Mucus
neutral_1256-175-PW195-M,neutral,Mucus
neutral_1256-178-PW197-M,neutral,Mucus
neutral_1256-185-PW199-M,neutral,Mucus
neutral_1256-190-PW202-M,neutral,Mucus
neutral_1256-193-PW203-M,neutral,Mucus
neutral_1256-196-PW204-M,neutral,Mucus
neutral_1256-200-HI6-M,neutral,Mucus
neutral_1256-203-HI7-M,neutral,Mucus
neutral_1256-206-HI8-M,neutral,Mucus
neutral_1256-209-HI10-M,neutral,Mucus
neutral_1256-212-HI57-M,neutral,Mucus
neutral_1256-216-HI58-M,neutral,Mucus
neutral_1256-219-HI59-M,neutral,Mucus
neutral_1256-222-HI60-M,neutral,Mucus
neutral_1256-225-HI61-M,neutral,Mucus
neutral_1256-228-HI62-M,neutral,Mucus
neutral_1256-232-HI63-M,neutral,Mucus
neutral_1256-235-HI64-M,neutral,Mucus
neutral_1256-238-HI65-M,neutral,Mucus
neutral_1256-241-HI66-M,neutral,Mucus
neutral_1256-244-HI67-M,neutral,Mucus
neutral_1256-247-HI68-M,neutral,Mucus
neutral_1256-251-HI69-M,neutral,Mucus
neutral_1256-254-HI70-M,neutral,Mucus
neutral_1256-256-HIA-M,neutral,Mucus
neutral_1256-259-HIB-M,neutral,Mucus
neutral_1256-262-HICM,neutral,Mucus
neutral_1256-269-HIE-M,neutral,Mucus
neutral_1256-274-P5-M,neutral,Mucus
neutral_1256-288-P7-M,neutral,Mucus
neutral_1256-291-P8-M,neutral,Mucus
neutral_1256-294-P11-M,neutral,Mucus
neutral_1256-298-P12-M,neutral,Mucus
neutral_1256-303-P479-M,neutral,Mucus
neutral_1256-305-P480-M,neutral,Mucus
neutral_1256-307-P481-M,neutral,Mucus
neutral_1256-309-P482-M,neutral,Mucus
neutral_1256-311-P483-M,neutral,Mucus
neutral_1256-313-P484-M,neutral,Mucus
neutral_1256-315-P485-M,neutral,Mucus
neutral_1256-319-P486-M,neutral,Mucus
neutral_1256-321-P489-M,neutral,Mucus
neutral_1256-323-P492-M,neutral,Mucus
neutral_1256-324-P493-M,neutral,Mucus
neutral_1256-326-P494-M,neutral,Mucus
neutral_1256-330-P497-M,neutral,Mucus
neutral_1256-332-P498-M,neutral,Mucus
neutral_1256-333-P499-M,neutral,Mucus
neutral_1256-337-P502-M,neutral,Mucus
neutral_1256-338-P503-M,neutral,Mucus
neutral_1256-340-P504-M,neutral,Mucus
neutral_1256-342-P507-M,neutral,Mucus
neutral_1256-344-P508-M,neutral,Mucus
neutral_1256-346-P509-M,neutral,Mucus
neutral_1256-348-P510-M,neutral,Mucus
neutral_1256-350-P511-M,neutral,Mucus
neutral_1256-352-P512-M,neutral,Mucus
neutral_1256-358-P501-M,neutral,Mucus
neutral_E1.10.Poc.dami.1.20140731.M,neutral,Mucus
neutral_E1.10.Sty.pist.1.20140807.M,neutral,Mucus
neutral_E1.10.Sty.pist.1.20140815.M,neutral,Mucus
neutral_E1.11.Fun.sp.1.20140730.M,neutral,Mucus
neutral_E1.11.Fun.sp.1.20140811.M,neutral,Mucus
neutral_E1.11.Lep.tran.1.20140731.M,neutral,Mucus
neutral_E1.11.Psa.cont.1.20140730.M,neutral,Mucus
neutral_E1.11.Psa.digi.1.20140807.M,neutral,Mucus
neutral_E1.14.Phy.lich.1.20140811.M,neutral,Mucus
neutral_E1.15.Dip.heli.1.20140726.M,neutral,Mucus
neutral_E1.15.Dip.heli.1.20140809.M,neutral,Mucus
neutral_E1.15.Dip.heli.1.20140815.M,neutral,Mucus
neutral_E1.15.Dip.heli.1.20140905.M,neutral,Mucus
neutral_E1.17.Cau.furc.1.20140801.M,neutral,Mucus
neutral_E1.17.Ech.lame.1.20140905.M,neutral,Mucus
neutral_E1.17.Ech.mamm.1.20140728.M,neutral,Mucus
neutral_E1.17.Ech.mamm.1.20140815.M,neutral,Mucus
neutral_E1.17.Fav.sp.1.20140805.M,neutral,Mucus
neutral_E1.17.Fav.sp.1.20140811.M,neutral,Mucus
neutral_E1.17.Fav.sp.2.20140805.M,neutral,Mucus
neutral_E1.17.Hyd.exes.1.20140803.M,neutral,Mucus
neutral_E1.19.Lob.sp.1.20140730.M,neutral,Mucus
neutral_E1.19.Lob.sp.1.20140809.M,neutral,Mucus
neutral_E1.19.Sym.sp.1.20140724.M,neutral,Mucus
neutral_E1.19.Sym.sp.1.20140814.M,neutral,Mucus
neutral_E1.19.Sym.sp.1.20140815.M,neutral,Mucus
neutral_E1.19.Sym.sp.1.20140905.M,neutral,Mucus
neutral_E1.2.Tur.pelt.1.20140814.M,neutral,Mucus
neutral_E1.2.Tur.reni.1.20140730.M,neutral,Mucus
neutral_E1.2.Tur.reni.1.20140814.M,neutral,Mucus
neutral_E1.2.Tur.stel.1.20140805.M,neutral,Mucus
neutral_E1.3.Por.cyli.1.20140801.M,neutral,Mucus
neutral_E1.3.Por.cyli.1.20140815.M,neutral,Mucus
neutral_E1.3.Por.loba.1.20140724.M,neutral,Mucus
neutral_E1.3.Por.loba.1.20140726.M,neutral,Mucus
neutral_E1.3.Por.loba.1.20140905.M,neutral,Mucus
neutral_E1.4.Pac.rugo.1.20140728.M,neutral,Mucus
neutral_E1.4.Pac.rugo.1.20140814.M,neutral,Mucus
neutral_E1.4.Pac.spec.1.20140811.M,neutral,Mucus
neutral_E1.5.Gal.astr.1.20140728.M,neutral,Mucus
neutral_E1.5.Gal.astr.1.20140807.M,neutral,Mucus
neutral_E1.5.Gal.astr.1.20140814.M,neutral,Mucus
neutral_E1.5.Gal.astr.1.20140905.M,neutral,Mucus
neutral_E1.6.Acr.humi.1.20140731.M,neutral,Mucus
neutral_E1.6.Acr.sp.1.20140905.M,neutral,Mucus
neutral_E1.6.Iso.pali.1.20140803.M,neutral,Mucus
neutral_E1.6.Iso.pali.1.20140815.M,neutral,Mucus
neutral_E1.6.Mon.hisp.1.20140807.M,neutral,Mucus
neutral_E1.7.Pav.sp.1.20140905.M,neutral,Mucus
neutral_E1.7.Pav.vari.1.20140805.M,neutral,Mucus
neutral_E1.7.Pav.vari.1.20140815.M,neutral,Mucus
neutral_E1.7.Pav.veno.1.20140809.M,neutral,Mucus
neutral_E1.7.Pav.veno.1.20140811.M,neutral,Mucus
neutral_E10.10.Poc.dami.1.20150630.M,neutral,Mucus
neutral_E10.10.Sty.pist.1.20150630.M,neutral,Mucus
neutral_E10.10.Sty.pist.2.20150630.M,neutral,Mucus
neutral_E10.10.Sty.pist.3.20150630.M,neutral,Mucus
neutral_E10.17.Fav.abdi.1.20150630.M,neutral,Mucus
neutral_E10.17.Fav.abdi.2.20150630.M,neutral,Mucus
neutral_E10.17.Gon.favu.1.20150629.M,neutral,Mucus
neutral_E10.17.Gon.favu.1.20150630.M,neutral,Mucus
neutral_E10.17.Gon.favu.2.20150630.M,neutral,Mucus
neutral_E10.17.Mon.curt.3.20150629.M,neutral,Mucus
neutral_E10.Aca.hill.1.20150629.M,neutral,Mucus
neutral_E10.Aca.hill.2.20150629.M,neutral,Mucus
neutral_E10.Aca.hill.3.20150629.M,neutral,Mucus
neutral_E10.Acr.cyth.1.20150627.M,neutral,Mucus
neutral_E10.Acr.cyth.2.20150627.M,neutral,Mucus
neutral_E10.Acr.cyth.3.20150627.M,neutral,Mucus
neutral_E10.Acr.pali.1.20150627.M,neutral,Mucus
neutral_E10.Acr.pali.2.20150627.M,neutral,Mucus
neutral_E10.Acr.pali.3.20150627.M,neutral,Mucus
neutral_E10.Alv.alli.1.20150628.M,neutral,Mucus
neutral_E10.Alv.alli.2.20150628.M,neutral,Mucus
neutral_E10.Alv.alli.3.20150628.M,neutral,Mucus
neutral_E10.Cyp.micr.1.20150627.M,neutral,Mucus
neutral_E10.Cyp.sera.2.20150628.M,neutral,Mucus
neutral_E10.Fav.abdi.1.20150629.M,neutral,Mucus
neutral_E10.Mon.curt.1.20150629.M,neutral,Mucus
neutral_E10.Mon.curt.2.20150629.M,neutral,Mucus
neutral_E10.Poc.dami.1.20150628.M,neutral,Mucus
neutral_E10.Por.hero.1.20150628.M,neutral,Mucus
neutral_E10.Por.hero.2.20150628.M,neutral,Mucus
neutral_E10.Por.hero.3.20150628.M,neutral,Mucus
neutral_E10.Ser.cali.1.20150627.M,neutral,Mucus
neutral_E10.Ser.cali.2.20150627.M,neutral,Mucus
neutral_E10.Ser.cali.3.20150627.M,neutral,Mucus
neutral_E10.Sty.pist.1.20150628.M,neutral,Mucus
neutral_E3.10.Sty.pist.1.20150124.M,neutral,Mucus
neutral_E3.10.Sty.pist.1.20150127.M,neutral,Mucus
neutral_E3.10.Sty.pist.2.20150124.M,neutral,Mucus
neutral_E3.11.Fun.sp.1.20150125.M,neutral,Mucus
neutral_E3.11.Fun.sp.1.20150127.M,neutral,Mucus
neutral_E3.11.Fun.sp.2.20150125.M,neutral,Mucus
neutral_E3.14.Phy.lich.1.20150125.M,neutral,Mucus
neutral_E3.14.Phy.lich.1.20150129.M,neutral,Mucus
neutral_E3.14.Phy.lich.2.20150125.M,neutral,Mucus
neutral_E3.15.Dip.heli.1.20150105.M,neutral,Mucus
neutral_E3.15.Dip.heli.1.20150106.M,neutral,Mucus
neutral_E3.15.Dip.heli.1.20150118.M,neutral,Mucus
neutral_E3.15.Dip.heli.1.20150119.M,neutral,Mucus
neutral_E3.15.Dip.heli.1.20150120.M,neutral,Mucus
neutral_E3.15.Dip.heli.1.20150121.M,neutral,Mucus
neutral_E3.15.Dip.heli.1.20150123.M,neutral,Mucus
neutral_E3.15.Dip.heli.2.20150105.M,neutral,Mucus
neutral_E3.15.Dip.heli.2.20150106.M,neutral,Mucus
neutral_E3.15.Dip.heli.2.20150119.M,neutral,Mucus
neutral_E3.15.Dip.heli.2.20150120.M,neutral,Mucus
neutral_E3.15.Dip.heli.2.20150121.M,neutral,Mucus
neutral_E3.15.Dip.heli.2.20150123.M,neutral,Mucus
neutral_E3.15.Dip.heli.3.20150105.M,neutral,Mucus
neutral_E3.15.Dip.heli.3.20150120.M,neutral,Mucus
neutral_E3.15.Dip.heli.3.20150121.M,neutral,Mucus
neutral_E3.15.Dip.heli.3.20150123.M,neutral,Mucus
neutral_E3.15.Dip.heli.4.20150105.M,neutral,Mucus
neutral_E3.17.Ech.mamm.1.20150123.M,neutral,Mucus
neutral_E3.17.Ech.mamm.1.20150127.M,neutral,Mucus
neutral_E3.17.Ech.mamm.1.20150129.M,neutral,Mucus
neutral_E3.19.Sym.sp.1.20150125.M,neutral,Mucus
neutral_E3.19.Sym.sp.1.20150127.M,neutral,Mucus
neutral_E3.19.Sym.sp.2.20150125.M,neutral,Mucus
neutral_E3.2.Tur.reni.1.20150124.M,neutral,Mucus
neutral_E3.2.Tur.reni.1.20150127.M,neutral,Mucus
neutral_E3.2.Tur.reni.2.20150124.M,neutral,Mucus
neutral_E3.3.Por.cyli.1.20150123.M,neutral,Mucus
neutral_E3.3.Por.cyli.1.20150127.M,neutral,Mucus
neutral_E3.3.Por.cyli.2.20150123.M,neutral,Mucus
neutral_E3.4.Pac.rugo.1.20150127.M,neutral,Mucus
neutral_E3.4.Pac.rugo.1.20150128.M,neutral,Mucus
neutral_E3.4.Pac.spec.1.20150128.M,neutral,Mucus
neutral_E3.4.Pac.spec.1.20150129.M,neutral,Mucus
neutral_E3.5.Gal.astr.1.20150124.M,neutral,Mucus
neutral_E3.5.Gal.astr.2.20150124.M,neutral,Mucus
neutral_E3.5.Gal.astr.2.20150127.M,neutral,Mucus
neutral_E3.6.Acr.hyac.1.20150105.M,neutral,Mucus
neutral_E3.6.Acr.hyac.1.20150106.M,neutral,Mucus
neutral_E3.6.Acr.hyac.1.20150118.M,neutral,Mucus
neutral_E3.6.Acr.hyac.1.20150120.M,neutral,Mucus
neutral_E3.6.Acr.hyac.1.20150121.M,neutral,Mucus
neutral_E3.6.Acr.hyac.1.20150123.M,neutral,Mucus
neutral_E3.6.Acr.hyac.2.20150105.M,neutral,Mucus
neutral_E3.6.Acr.hyac.2.20150106.M,neutral,Mucus
neutral_E3.6.Acr.hyac.2.20150120.M,neutral,Mucus
neutral_E3.6.Acr.hyac.2.20150121.M,neutral,Mucus
neutral_E3.6.Acr.hyac.2.20150123.M,neutral,Mucus
neutral_E3.6.Acr.hyac.3.20150105.M,neutral,Mucus
neutral_E3.6.Acr.hyac.3.20150120.M,neutral,Mucus
neutral_E3.6.Acr.hyac.3.20150121.M,neutral,Mucus
neutral_E3.6.Acr.hyac.3.20150123.M,neutral,Mucus
neutral_E3.6.Acr.hyac.4.20150105.M,neutral,Mucus
neutral_E3.7.Pav.vari.1.20150124.M,neutral,Mucus
neutral_E3.7.Pav.vari.1.20150127.M,neutral,Mucus
neutral_E3.7.Pav.vari.2.20150124.M,neutral,Mucus
neutral_E7.10.Poc.dami.1.20150621.M,neutral,Mucus
neutral_E7.10.Poc.dami.2.20150621.M,neutral,Mucus
neutral_E7.10.Poc.dami.3.20150621.M,neutral,Mucus
neutral_E7.10.Ser.cali.1.20150622.M,neutral,Mucus
neutral_E7.10.Ser.cali.2.20150622.M,neutral,Mucus
neutral_E7.10.Ser.cali.3.20150622.M,neutral,Mucus
neutral_E7.17.Cyp.micr.1.20150621.M,neutral,Mucus
neutral_E7.17.Cyp.micr.2.20150621.M,neutral,Mucus
neutral_E7.17.Cyp.micr.3.20150621.M,neutral,Mucus
neutral_E7.17.Ech.lame.1.20150620.M,neutral,Mucus
neutral_E7.17.Ech.lame.2.20150620.M,neutral,Mucus
neutral_E7.17.Ech.lame.3.20150620.M,neutral,Mucus
neutral_E7.17.Fav.abdi.1.20150623.M,neutral,Mucus
neutral_E7.17.Fav.abdi.2.20150623.M,neutral,Mucus
neutral_E7.17.Fav.spA.1.20150623.M,neutral,Mucus
neutral_E7.17.Fav.spA.2.20150623.M,neutral,Mucus
neutral_E7.17.Fav.spB.1.20150623.M,neutral,Mucus
neutral_E7.17.Gon.edwa.1.20150623.M,neutral,Mucus
neutral_E7.17.Gon.edwa.2.20150623.M,neutral,Mucus
neutral_E7.17.Hyd.exce.1.20150620.M,neutral,Mucus
neutral_E7.17.Hyd.exes.1.20150622.M,neutral,Mucus
neutral_E7.17.Hyd.exes.2.20150622.M,neutral,Mucus
neutral_E7.17.Mer.ampl.1.20150621.M,neutral,Mucus
neutral_E7.17.Mer.ampl.3.20150621.M,neutral,Mucus
neutral_E7.17.Myc.elep.1.20150622.M,neutral,Mucus
neutral_E7.17.Pla.sine.2.20150622.M,neutral,Mucus
neutral_E7.17.Pla.sine.3.20150622.M,neutral,Mucus
neutral_E7.19.Lob.hemp.1.20150619.M,neutral,Mucus
neutral_E7.19.Lob.hemp.1.20150621.M,neutral,Mucus
neutral_E7.19.Lob.hemp.2.20150619.M,neutral,Mucus
neutral_E7.3.Por.loba.1.20150619.M,neutral,Mucus
neutral_E7.3.Por.loba.2.20150619.M,neutral,Mucus
neutral_E7.3.Por.loba.3.20150619.M,neutral,Mucus
neutral_E7.3.Por.loba.4.20150619.M,neutral,Mucus
neutral_E7.5.Gal.astr.1.20150622.M,neutral,Mucus
neutral_E7.5.Gal.fasc.1.20150621.M,neutral,Mucus
neutral_E7.5.Gal.fasc.1.20150622.M,neutral,Mucus
neutral_E7.6.Acr.hyac.1.20150622.M,neutral,Mucus
neutral_E7.6.Acr.hyac.2.20150622.M,neutral,Mucus
neutral_E7.6.Acr.hyac.3.20150622.M,neutral,Mucus
neutral_E7.6.Mon.aequ.1.20150620.M,neutral,Mucus
neutral_E7.6.Mon.aequ.2.20150620.M,neutral,Mucus
neutral_E7.6.Mon.aequ.3.20150620.M,neutral,Mucus
neutral_E7.6.Mon.aequ.4.20150620.M,neutral,Mucus
neutral_E7.7.Pav.vari.1.20150622.M,neutral,Mucus
neutral_E7.7.Pav.vari.1.20150623.M,neutral,Mucus
neutral_E7.7.Pav.vari.2.20150622.M,neutral,Mucus
