"expedition_number","host_scientific_name","model","compartment","pseudo_sampleID","compartment_neutrality"
"E5","Orbicella annularis","above","Tissue","1256-008-C119-T_above","Tissue_above"
"E5","Orbicella faveolata","above","Tissue","1256-011-C120-T_above","Tissue_above"
"E5","Orbicella faveolata","above","Tissue","1256-014-C121-T_above","Tissue_above"
"E5","Orbicella annularis","above","Tissue","1256-018-C122-T_above","Tissue_above"
"E5","Scolymia sp","above","Tissue","1256-024-C127-T_above","Tissue_above"
"E5","Scolymia sp","above","Tissue","1256-027-C128-T_above","Tissue_above"
"E5","Scolymia sp","above","Tissue","1256-030-C129-T_above","Tissue_above"
"E5","Montastraea cavernosa","above","Tissue","1256-032-C132-T_above","Tissue_above"
"E5","Montastraea cavernosa","above","Tissue","1256-036-C133-T_above","Tissue_above"
"E5","Stephanocoenia intersepta","above","Tissue","1256-042-C143-T_above","Tissue_above"
"E5","Stephanocoenia intersepta","above","Tissue","1256-045-C144-T_above","Tissue_above"
"E5","Stephanocoenia intersepta","above","Tissue","1256-048-C145-T_above","Tissue_above"
"E5","Diploria labyrinthiformis","above","Tissue","1256-052-C148-T_above","Tissue_above"
"E5","Diploria labyrinthiformis","above","Tissue","1256-055-C149-T_above","Tissue_above"
"E5","Siderastrea siderea","above","Tissue","1256-061-C151-T_above","Tissue_above"
"E5","Siderastrea siderea","above","Tissue","1256-066-C153-T_above","Tissue_above"
"E12","Montastraea cavernosa","above","Tissue","1256-070-C327-T_above","Tissue_above"
"E12","Montastraea cavernosa","above","Tissue","1256-073-C328-T_above","Tissue_above"
"E12","Acropora palmata","above","Tissue","1256-074-C369-T_above","Tissue_above"
"E12","Acropora palmata","above","Tissue","1256-075-C370-T_above","Tissue_above"
"E12","Acropora palmata","above","Tissue","1256-076-C371-T_above","Tissue_above"
"E12","Acropora palmata","above","Tissue","1256-077-C372-T_above","Tissue_above"
"E12","Acropora palmata","above","Tissue","1256-078-C373-T_above","Tissue_above"
"E12","Diploria labyrinthiformis","above","Tissue","1256-079-C386-T_above","Tissue_above"
"E12","Acropora cervicornis","above","Tissue","1256-080-C435-T_above","Tissue_above"
"E12","Acropora cervicornis","above","Tissue","1256-081-C436-T_above","Tissue_above"
"E12","Acropora cervicornis","above","Tissue","1256-082-C437-T_above","Tissue_above"
"E11","Pavona clavus","above","Tissue","1256-103-PW164-T_above","Tissue_above"
"E11","Pavona clavus","above","Tissue","1256-106-PW165-T_above","Tissue_above"
"E11","Tubastraea sp","above","Tissue","1256-109-PW166-T_above","Tissue_above"
"E11","Tubastraea sp","above","Tissue","1256-112-PW167-T_above","Tissue_above"
"E11","Pavona clavus","above","Tissue","1256-115-PW168-T_above","Tissue_above"
"E11","Tubastraea sp","above","Tissue","1256-119-PW169-T_above","Tissue_above"
"E11","Pavona clavus","above","Tissue","1256-122-PW170-T_above","Tissue_above"
"E11","Gardineroseris planulata","above","Tissue","1256-125-PW171-T_above","Tissue_above"
"E11","Gardineroseris planulata","above","Tissue","1256-128-PW172-T_above","Tissue_above"
"E11","Pavona gigantea","above","Tissue","1256-131-PW174-T_above","Tissue_above"
"E11","Pavona gigantea","above","Tissue","1256-136-PW176-T_above","Tissue_above"
"E11","Porites panamensis","above","Tissue","1256-139-PW177-T_above","Tissue_above"
"E11","Porites panamensis","above","Tissue","1256-142-PW178-T_above","Tissue_above"
"E11","Tubastraea sp","above","Tissue","1256-147-PW182-T_above","Tissue_above"
"E11","Pavona gigantea","above","Tissue","1256-151-PW183-T_above","Tissue_above"
"E11","Psammocora stellata","above","Tissue","1256-154-PW185-T_above","Tissue_above"
"E11","Psammocora stellata","above","Tissue","1256-157-PW186-T_above","Tissue_above"
"E11","Psammocora stellata","above","Tissue","1256-160-PW187-T_above","Tissue_above"
"E11","Pocillopora damicornis","above","Tissue","1256-168-PW192-T_above","Tissue_above"
"E11","Gardineroseris planulata","above","Tissue","1256-171-PW193-T_above","Tissue_above"
"E11","Porites lobata","above","Tissue","1256-174-PW194-T_above","Tissue_above"
"E11","Pocillopora elegans","above","Tissue","1256-177-PW195-T_above","Tissue_above"
"E11","Porites lobata","above","Tissue","1256-180-PW197-T_above","Tissue_above"
"E11","Pocillopora elegans","above","Tissue","1256-189-PW201-T_above","Tissue_above"
"E11","Pocillopora elegans","above","Tissue","1256-192-PW202-T_above","Tissue_above"
"E11","Pavona varians","above","Tissue","1256-195-PW203-T_above","Tissue_above"
"E15","Porites lobata","above","Tissue","1256-202-HI6-T_above","Tissue_above"
"E15","Montipora capitata","above","Tissue","1256-205-HI7-T_above","Tissue_above"
"E15","Pocillopora meandrina","above","Tissue","1256-208-HI8-T_above","Tissue_above"
"E15","Pocillopora meandrina","above","Tissue","1256-211-HI10-T_above","Tissue_above"
"E15","Leptastrea purpurea","above","Tissue","1256-214-HI57-T_above","Tissue_above"
"E15","Lobactis scutaria","above","Tissue","1256-218-HI58-T_above","Tissue_above"
"E15","Montipora capitata","above","Tissue","1256-221-HI59-T_above","Tissue_above"
"E15","Pavona varians","above","Tissue","1256-224-HI60-T_above","Tissue_above"
"E15","Porites evermanni","above","Tissue","1256-227-HI61-T_above","Tissue_above"
"E15","Pocillopora damicornis","above","Tissue","1256-237-HI64-T_above","Tissue_above"
"E15","Porites lobata","above","Tissue","1256-240-HI65-T_above","Tissue_above"
"E15","Porites evermanni","above","Tissue","1256-246-HI67-T_above","Tissue_above"
"E15","Gardineroseris planulata","above","Tissue","1256-253-HI69-T_above","Tissue_above"
"E15","Tubastraea coccinea","above","Tissue","1256-258-HIA-T_above","Tissue_above"
"E15","Pocillopora meandrina","above","Tissue","1256-267-HID-T_above","Tissue_above"
"E2","Montastraea cavernosa","above","Tissue","1256-273-P2-T_above","Tissue_above"
"E2","Orbicella franksi","above","Tissue","1256-276-P5-T_above","Tissue_above"
"E15","Pocillopora damicornis","above","Tissue","1256-277-HIE-T_above","Tissue_above"
"E2","Orbicella franksi","above","Tissue","1256-287-P6-T_above","Tissue_above"
"E2","Orbicella franksi","above","Tissue","1256-290-P7-T_above","Tissue_above"
"E2","Orbicella faveolata","above","Tissue","1256-293-P8-T_above","Tissue_above"
"E2","Orbicella annularis","above","Tissue","1256-297-P11-T_above","Tissue_above"
"E2","Orbicella annularis","above","Tissue","1256-300-P12-T_above","Tissue_above"
"E2","Porites porites","above","Tissue","1256-304-P479-T_above","Tissue_above"
"E2","Agaricia tenuifolia","above","Tissue","1256-312-P483-T_above","Tissue_above"
"E2","Stephanocoenia intersepta","above","Tissue","1256-322-P489-T_above","Tissue_above"
"E2","Eusmilia fastigiata","above","Tissue","1256-325-P493-T_above","Tissue_above"
"E2","Eusmilia fastigiata","above","Tissue","1256-327-P494-T_above","Tissue_above"
"E2","Siderastrea siderea","above","Tissue","1256-329-P496-T_above","Tissue_above"
"E2","Siderastrea siderea","above","Tissue","1256-331-P497-T_above","Tissue_above"
"E2","Diploria labyrinthiformis","above","Tissue","1256-334-P499-T_above","Tissue_above"
"E2","Acropora palmata","above","Tissue","1256-339-P503-T_above","Tissue_above"
"E2","Acropora cervicornis","above","Tissue","1256-343-P507-T_above","Tissue_above"
"E2","Meandrina meandrites","above","Tissue","1256-345-P508-T_above","Tissue_above"
"E2","Meandrina meandrites","above","Tissue","1256-347-P509-T_above","Tissue_above"
"E2","Meandrina meandrites","above","Tissue","1256-349-P510-T_above","Tissue_above"
"E2","Meandrina meandrites","above","Tissue","1256-351-P511-T_above","Tissue_above"
"E1","Pocillopora damicornis","above","Tissue","E1.10.Poc.dami.1.20140728.T_above","Tissue_above"
"E1","Pocillopora damicornis","above","Tissue","E1.10.Poc.dami.1.20140731.T_above","Tissue_above"
"E1","Stylophora pistillata","above","Tissue","E1.10.Sty.pist.1.20140815.T_above","Tissue_above"
"E1","Fungia sp","above","Tissue","E1.11.Fun.sp.1.20140730.T_above","Tissue_above"
"E1","Fungia sp","above","Tissue","E1.11.Fun.sp.1.20140811.T_above","Tissue_above"
"E1","Leptastrea transversa","above","Tissue","E1.11.Lep.tran.1.20140731.T_above","Tissue_above"
"E1","Psammocora contigua","above","Tissue","E1.11.Psa.cont.1.20140730.T_above","Tissue_above"
"E1","Psammocora digitata","above","Tissue","E1.11.Psa.digi.1.20140807.T_above","Tissue_above"
"E1","Physogyra lichtensteini","above","Tissue","E1.14.Phy.lich.1.20140811.T_above","Tissue_above"
"E1","Diploastrea heliopora","above","Tissue","E1.15.Dip.heli.1.20140726.T_above","Tissue_above"
"E1","Diploastrea heliopora","above","Tissue","E1.15.Dip.heli.1.20140809.T_above","Tissue_above"
"E1","Diploastrea heliopora","above","Tissue","E1.15.Dip.heli.1.20140815.T_above","Tissue_above"
"E1","Diploastrea heliopora","above","Tissue","E1.15.Dip.heli.1.20140905.T_above","Tissue_above"
"E1","Caulastrea furcata","above","Tissue","E1.17.Cau.furc.1.20140801.T_above","Tissue_above"
"E1","Echinopora lamellosa","above","Tissue","E1.17.Ech.lame.1.20140905.T_above","Tissue_above"
"E1","Echinopora mammiformis","above","Tissue","E1.17.Ech.mamm.1.20140815.T_above","Tissue_above"
"E1","Favites sp1","above","Tissue","E1.17.Fav.sp.1.20140805.T_above","Tissue_above"
"E1","Echinophyllia orpheensis","above","Tissue","E1.17.Fav.sp.1.20140811.T_above","Tissue_above"
"E1","Favites sp2","above","Tissue","E1.17.Fav.sp.2.20140805.T_above","Tissue_above"
"E1","Hydnophora exesa","above","Tissue","E1.17.Hyd.exes.1.20140803.T_above","Tissue_above"
"E1","Lobophyllia sp","above","Tissue","E1.19.Lob.sp.1.20140730.T_above","Tissue_above"
"E1","Lobophyllia sp","above","Tissue","E1.19.Lob.sp.1.20140809.T_above","Tissue_above"
"E1","Symphyllia sp","above","Tissue","E1.19.Sym.sp.1.20140814.T_above","Tissue_above"
"E1","Symphyllia sp","above","Tissue","E1.19.Sym.sp.1.20140815.T_above","Tissue_above"
"E1","Symphyllia sp","above","Tissue","E1.19.Sym.sp.1.20140905.T_above","Tissue_above"
"E1","Turbinaria peltata","above","Tissue","E1.2.Tur.pelt.1.20140814.T_above","Tissue_above"
"E1","Turbinaria reniformis","above","Tissue","E1.2.Tur.reni.1.20140730.T_above","Tissue_above"
"E1","Turbinaria reniformis","above","Tissue","E1.2.Tur.reni.1.20140814.T_above","Tissue_above"
"E1","Turbinaria stellulata","above","Tissue","E1.2.Tur.stel.1.20140805.T_above","Tissue_above"
"E1","Porites cylindrica","above","Tissue","E1.3.Por.cyli.1.20140801.T_above","Tissue_above"
"E1","Porites cylindrica","above","Tissue","E1.3.Por.cyli.1.20140815.T_above","Tissue_above"
"E1","Porites lobata","above","Tissue","E1.3.Por.loba.1.20140726.T_above","Tissue_above"
"E1","Porites lobata","above","Tissue","E1.3.Por.loba.1.20140905.T_above","Tissue_above"
"E1","Pachyseris rugosa","above","Tissue","E1.4.Pac.rugo.1.20140728.T_above","Tissue_above"
"E1","Pachyseris rugosa","above","Tissue","E1.4.Pac.rugo.1.20140814.T_above","Tissue_above"
"E1","Pachyseris speciosa","above","Tissue","E1.4.Pac.spec.1.20140801.T_above","Tissue_above"
"E1","Pachyseris speciosa","above","Tissue","E1.4.Pac.spec.1.20140811.T_above","Tissue_above"
"E1","Galaxea astreata","above","Tissue","E1.5.Gal.astr.1.20140728.T_above","Tissue_above"
"E1","Galaxea astreata","above","Tissue","E1.5.Gal.astr.1.20140807.T_above","Tissue_above"
"E1","Galaxea astreata","above","Tissue","E1.5.Gal.astr.1.20140814.T_above","Tissue_above"
"E1","Galaxea astreata","above","Tissue","E1.5.Gal.astr.1.20140905.T_above","Tissue_above"
"E1","Acropora humilis","above","Tissue","E1.6.Acr.humi.1.20140731.T_above","Tissue_above"
"E1","Acropora sp_bushy","above","Tissue","E1.6.Acr.sp.1.20140905.T_above","Tissue_above"
"E1","Isopora palifera","above","Tissue","E1.6.Iso.pali.1.20140803.T_above","Tissue_above"
"E1","Isopora palifera","above","Tissue","E1.6.Iso.pali.1.20140815.T_above","Tissue_above"
"E1","Pavona sp","above","Tissue","E1.7.Pav.sp.1.20140905.T_above","Tissue_above"
"E1","Pavona varians","above","Tissue","E1.7.Pav.vari.1.20140805.T_above","Tissue_above"
"E1","Pavona varians","above","Tissue","E1.7.Pav.vari.1.20140815.T_above","Tissue_above"
"E1","Pavona venosa","above","Tissue","E1.7.Pav.veno.1.20140809.T_above","Tissue_above"
"E1","Pavona venosa","above","Tissue","E1.7.Pav.veno.1.20140811.T_above","Tissue_above"
"E10","Pocillopora damicornis","above","Tissue","E10.10.Poc.dami.1.20150630.T_above","Tissue_above"
"E10","Stylophora pistillata","above","Tissue","E10.10.Sty.pist.2.20150630.T_above","Tissue_above"
"E10","Favites abdita","above","Tissue","E10.17.Fav.abdi.1.20150630.T_above","Tissue_above"
"E10","Goniastrea favulus","above","Tissue","E10.17.Gon.favu.1.20150629.T_above","Tissue_above"
"E10","Goniastrea favulus","above","Tissue","E10.17.Gon.favu.1.20150630.T_above","Tissue_above"
"E10","Goniastrea favulus","above","Tissue","E10.17.Gon.favu.2.20150630.T_above","Tissue_above"
"E10","Astrea curta","above","Tissue","E10.17.Mon.curt.3.20150629.T_above","Tissue_above"
"E10","Acropora cytherea","above","Tissue","E10.Acr.cyth.1.20150627.T_above","Tissue_above"
"E10","Acropora cytherea","above","Tissue","E10.Acr.cyth.2.20150627.T_above","Tissue_above"
"E10","Acropora cytherea","above","Tissue","E10.Acr.cyth.3.20150627.T_above","Tissue_above"
"E10","Isopora palifera","above","Tissue","E10.Acr.pali.2.20150627.T_above","Tissue_above"
"E10","Isopora palifera","above","Tissue","E10.Acr.pali.3.20150627.T_above","Tissue_above"
"E10","Alveopora allingi","above","Tissue","E10.Alv.alli.1.20150628.T_above","Tissue_above"
"E10","Alveopora allingi","above","Tissue","E10.Alv.alli.2.20150628.T_above","Tissue_above"
"E10","Alveopora allingi","above","Tissue","E10.Alv.alli.3.20150628.T_above","Tissue_above"
"E10","Cyphastrea microphthalma","above","Tissue","E10.Cyp.micr.1.20150627.T_above","Tissue_above"
"E10","Favites abdita","above","Tissue","E10.Fav.abdi.1.20150629.T_above","Tissue_above"
"E10","Astrea curta","above","Tissue","E10.Mon.curt.1.20150629.T_above","Tissue_above"
"E10","Astrea curta","above","Tissue","E10.Mon.curt.2.20150629.T_above","Tissue_above"
"E10","Pocillopora damicornis","above","Tissue","E10.Poc.dami.1.20150628.T_above","Tissue_above"
"E10","Pocillopora damicornis","above","Tissue","E10.Poc.dami.2.20150628.T_above","Tissue_above"
"E10","Porites heronensis","above","Tissue","E10.Por.hero.1.20150628.T_above","Tissue_above"
"E10","Porites heronensis","above","Tissue","E10.Por.hero.2.20150628.T_above","Tissue_above"
"E10","Porites heronensis","above","Tissue","E10.Por.hero.3.20150628.T_above","Tissue_above"
"E10","Stylophora pistillata","above","Tissue","E10.Sty.pist.1.20150628.T_above","Tissue_above"
"E3","Fungia sp","above","Tissue","E3.11.Fun.sp.1.20150125.T_above","Tissue_above"
"E3","Fungia sp","above","Tissue","E3.11.Fun.sp.1.20150127.T_above","Tissue_above"
"E3","Fungia sp","above","Tissue","E3.11.Fun.sp.2.20150125.T_above","Tissue_above"
"E3","Physogyra lichtensteini","above","Tissue","E3.14.Phy.lich.1.20150129.T_above","Tissue_above"
"E3","Diploastrea heliopora","above","Tissue","E3.15.Dip.heli.1.20150105.T_above","Tissue_above"
"E3","Diploastrea heliopora","above","Tissue","E3.15.Dip.heli.1.20150106.T_above","Tissue_above"
"E3","Diploastrea heliopora","above","Tissue","E3.15.Dip.heli.1.20150118.T_above","Tissue_above"
"E3","Diploastrea heliopora","above","Tissue","E3.15.Dip.heli.1.20150120.T_above","Tissue_above"
"E3","Diploastrea heliopora","above","Tissue","E3.15.Dip.heli.1.20150121.T_above","Tissue_above"
"E3","Diploastrea heliopora","above","Tissue","E3.15.Dip.heli.1.20150123.T_above","Tissue_above"
"E3","Diploastrea heliopora","above","Tissue","E3.15.Dip.heli.2.20150105.T_above","Tissue_above"
"E3","Diploastrea heliopora","above","Tissue","E3.15.Dip.heli.2.20150106.T_above","Tissue_above"
"E3","Diploastrea heliopora","above","Tissue","E3.15.Dip.heli.2.20150119.T_above","Tissue_above"
"E3","Diploastrea heliopora","above","Tissue","E3.15.Dip.heli.2.20150121.T_above","Tissue_above"
"E3","Diploastrea heliopora","above","Tissue","E3.15.Dip.heli.3.20150105.T_above","Tissue_above"
"E3","Diploastrea heliopora","above","Tissue","E3.15.Dip.heli.3.20150106.T_above","Tissue_above"
"E3","Diploastrea heliopora","above","Tissue","E3.15.Dip.heli.3.20150120.T_above","Tissue_above"
"E3","Diploastrea heliopora","above","Tissue","E3.15.Dip.heli.3.20150121.T_above","Tissue_above"
"E3","Diploastrea heliopora","above","Tissue","E3.15.Dip.heli.3.20150123.T_above","Tissue_above"
"E3","Diploastrea heliopora","above","Tissue","E3.15.Dip.heli.4.20150105.T_above","Tissue_above"
"E3","Diploastrea heliopora","above","Tissue","E3.15.Dip.heli.4.20150106.T_above","Tissue_above"
"E3","Echinopora horrida","above","Tissue","E3.17.Ech.horr.1.20150123.T_above","Tissue_above"
"E3","Echinopora mammiformis","above","Tissue","E3.17.Ech.mamm.1.20150123.T_above","Tissue_above"
"E3","Echinopora mammiformis","above","Tissue","E3.17.Ech.mamm.1.20150127.T_above","Tissue_above"
"E3","Turbinaria reniformis","above","Tissue","E3.2.Tur.reni.1.20150127.T_above","Tissue_above"
"E3","Porites cylindrica","above","Tissue","E3.3.Por.cyli.1.20150123.T_above","Tissue_above"
"E3","Porites cylindrica","above","Tissue","E3.3.Por.cyli.1.20150127.T_above","Tissue_above"
"E3","Porites cylindrica","above","Tissue","E3.3.Por.cyli.2.20150123.T_above","Tissue_above"
"E3","Pachyseris rugosa","above","Tissue","E3.4.Pac.rugo.1.20150127.T_above","Tissue_above"
"E3","Pachyseris rugosa","above","Tissue","E3.4.Pac.rugo.1.20150128.T_above","Tissue_above"
"E3","Pachyseris speciosa","above","Tissue","E3.4.Pac.spec.1.20150128.T_above","Tissue_above"
"E3","Pachyseris speciosa","above","Tissue","E3.4.Pac.spec.1.20150129.T_above","Tissue_above"
"E3","Galaxea astreata","above","Tissue","E3.5.Gal.astr.1.20150124.T_above","Tissue_above"
"E3","Galaxea astreata","above","Tissue","E3.5.Gal.astr.2.20150124.T_above","Tissue_above"
"E3","Acropora hyacinthus","above","Tissue","E3.6.Acr.hyac.1.20150106.T_above","Tissue_above"
"E3","Acropora hyacinthus","above","Tissue","E3.6.Acr.hyac.1.20150118.T_above","Tissue_above"
"E3","Acropora hyacinthus","above","Tissue","E3.6.Acr.hyac.1.20150121.T_above","Tissue_above"
"E3","Acropora hyacinthus","above","Tissue","E3.6.Acr.hyac.1.20150123.T_above","Tissue_above"
"E3","Acropora hyacinthus","above","Tissue","E3.6.Acr.hyac.2.20150105.T_above","Tissue_above"
"E3","Acropora hyacinthus","above","Tissue","E3.6.Acr.hyac.2.20150106.T_above","Tissue_above"
"E3","Acropora hyacinthus","above","Tissue","E3.6.Acr.hyac.2.20150120.T_above","Tissue_above"
"E3","Acropora hyacinthus","above","Tissue","E3.6.Acr.hyac.2.20150123.T_above","Tissue_above"
"E3","Acropora hyacinthus","above","Tissue","E3.6.Acr.hyac.3.20150105.T_above","Tissue_above"
"E3","Acropora hyacinthus","above","Tissue","E3.6.Acr.hyac.3.20150106.T_above","Tissue_above"
"E3","Acropora hyacinthus","above","Tissue","E3.6.Acr.hyac.3.20150120.T_above","Tissue_above"
"E3","Acropora hyacinthus","above","Tissue","E3.6.Acr.hyac.3.20150121.T_above","Tissue_above"
"E3","Acropora hyacinthus","above","Tissue","E3.6.Acr.hyac.3.20150123.T_above","Tissue_above"
"E3","Acropora hyacinthus","above","Tissue","E3.6.Acr.hyac.4.20150105.T_above","Tissue_above"
"E3","Acropora hyacinthus","above","Tissue","E3.6.Acr.hyac.4.20150106.T_above","Tissue_above"
"E3","Pavona varians","above","Tissue","E3.7.Pav.vari.1.20150124.T_above","Tissue_above"
"E3","Pavona varians","above","Tissue","E3.7.Pav.vari.1.20150127.T_above","Tissue_above"
"E3","Pavona varians","above","Tissue","E3.7.Pav.vari.2.20150124.T_above","Tissue_above"
"E7","Echinopora lamellosa","above","Tissue","E7.17.Ech.lame.1.20150620.T_above","Tissue_above"
"E7","Echinopora lamellosa","above","Tissue","E7.17.Ech.lame.2.20150620.T_above","Tissue_above"
"E7","Echinopora lamellosa","above","Tissue","E7.17.Ech.lame.3.20150620.T_above","Tissue_above"
"E7","Favites abdita","above","Tissue","E7.17.Fav.abdi.1.20150623.T_above","Tissue_above"
"E7","Dipsastraea sp_A","above","Tissue","E7.17.Fav.spA.1.20150623.T_above","Tissue_above"
"E7","Dipsastraea sp_A","above","Tissue","E7.17.Fav.spA.2.20150623.T_above","Tissue_above"
"E7","Dipsastraea sp_C","above","Tissue","E7.17.Fav.spC.1.20150623.T_above","Tissue_above"
"E7","Goniastrea edwardsi","above","Tissue","E7.17.Gon.edwa.1.20150623.T_above","Tissue_above"
"E7","Goniastrea edwardsi","above","Tissue","E7.17.Gon.edwa.2.20150623.T_above","Tissue_above"
"E7","Hydnophora exesa","above","Tissue","E7.17.Hyd.exce.1.20150620.T_above","Tissue_above"
"E7","Hydnophora exesa","above","Tissue","E7.17.Hyd.exes.1.20150622.T_above","Tissue_above"
"E7","Hydnophora exesa","above","Tissue","E7.17.Hyd.exes.2.20150622.T_above","Tissue_above"
"E7","Merulina ampliata","above","Tissue","E7.17.Mer.ampl.1.20150621.T_above","Tissue_above"
"E7","Merulina ampliata","above","Tissue","E7.17.Mer.ampl.2.20150621.T_above","Tissue_above"
"E7","Merulina ampliata","above","Tissue","E7.17.Mer.ampl.3.20150621.T_above","Tissue_above"
"E7","Echinophyllia aspera","above","Tissue","E7.17.Myc.elep.1.20150622.T_above","Tissue_above"
"E7","Platygyra sinensis","above","Tissue","E7.17.Pla.sine.1.20150622.T_above","Tissue_above"
"E7","Platygyra sinensis","above","Tissue","E7.17.Pla.sine.2.20150622.T_above","Tissue_above"
"E7","Platygyra sinensis","above","Tissue","E7.17.Pla.sine.3.20150622.T_above","Tissue_above"
"E7","Lobophyllia hemprichii","above","Tissue","E7.19.Lob.hemp.1.20150619.T_above","Tissue_above"
"E7","Lobophyllia hemprichii","above","Tissue","E7.19.Lob.hemp.1.20150621.T_above","Tissue_above"
"E7","Lobophyllia hemprichii","above","Tissue","E7.19.Lob.hemp.2.20150619.T_above","Tissue_above"
"E7","Porites lobata","above","Tissue","E7.3.Por.loba.1.20150619.T_above","Tissue_above"
"E7","Porites lobata","above","Tissue","E7.3.Por.loba.2.20150619.T_above","Tissue_above"
"E7","Porites lobata","above","Tissue","E7.3.Por.loba.4.20150619.T_above","Tissue_above"
"E7","Galaxea astreata","above","Tissue","E7.5.Gal.astr.1.20150622.T_above","Tissue_above"
"E7","Galaxea fascicularis","above","Tissue","E7.5.Gal.fasc.1.20150621.T_above","Tissue_above"
"E7","Galaxea fascicularis","above","Tissue","E7.5.Gal.fasc.1.20150622.T_above","Tissue_above"
"E7","Acropora hyacinthus","above","Tissue","E7.6.Acr.hyac.1.20150622.T_above","Tissue_above"
"E7","Acropora hyacinthus","above","Tissue","E7.6.Acr.hyac.2.20150622.T_above","Tissue_above"
"E7","Acropora hyacinthus","above","Tissue","E7.6.Acr.hyac.3.20150622.T_above","Tissue_above"
"E7","Montipora aequituberculata","above","Tissue","E7.6.Mon.aequ.1.20150620.T_above","Tissue_above"
"E7","Montipora aequituberculata","above","Tissue","E7.6.Mon.aequ.2.20150620.T_above","Tissue_above"
"E7","Montipora aequituberculata","above","Tissue","E7.6.Mon.aequ.3.20150620.T_above","Tissue_above"
"E7","Montipora aequituberculata","above","Tissue","E7.6.Mon.aequ.4.20150620.T_above","Tissue_above"
"E7","Pavona varians","above","Tissue","E7.7.Pav.vari.1.20150623.T_above","Tissue_above"
"E7","Pavona varians","above","Tissue","E7.7.Pav.vari.2.20150622.T_above","Tissue_above"
