"id","1256-012-C121-M","1256-019-C123-M","1256-022-C127-M","1256-025-C128-M","1256-028-C129-M","1256-040-C143-M","1256-043-C144-M","1256-046-C145-M","1256-049-C148-M","1256-056-C150-M","1256-059-C151-M","1256-062-C152-M","1256-064-C153-M"
"974f8e45c00b97930b1ace47e7130c3a",0,0,6,6,0,0,1,9,0,0,0,8,1
"5e721c3270cad9ff02898176529ee176",0,0,0,0,0,0,1,0,0,0,0,0,0
"b9311732854cb0d3493a2e9e85d8bd0f",0,0,0,30,100,0,2,0,0,0,0,4,4
"081db5234afa36c1236e8a269a6c385c",0,0,0,0,0,6,3,0,0,0,0,0,0
"6f3931130cf6e9c85962c83d686842dc",0,0,0,0,0,0,0,0,0,0,0,0,1
"04413a27f14f5ad2016083b889138fce",0,0,0,3,0,0,0,0,0,0,0,0,0
"ac16b14bf5d554d11b83ff27d4bd674c",0,0,0,0,0,4,0,0,0,0,0,0,0
"e3d747ae473f7c5a1da76b72069f78fe",0,0,0,0,0,0,0,0,0,0,0,0,2
"46b0b18a2c2494b750f8e4ad1c90898a",0,0,2,0,0,0,0,0,0,0,0,0,9
"e490ce4f97ed43ecc64b6704cc52b966",0,0,0,0,0,0,1,0,0,0,0,0,0
"5c562cff9d4de9e59eab3960339895c6",0,0,0,0,0,1,0,0,0,0,0,1,3
"8e3dc6bb1fe7f08fec33c8e7173ce38a",0,0,0,0,0,0,1,0,0,0,0,0,0
"d2017b4367c916148f342a6094b31709",0,0,0,0,0,0,0,0,0,0,0,12,0
"ac016a108edb4278e4cf8df29606bcb5",0,0,0,0,3,0,0,0,0,0,0,0,0
"64012ed5d9789843af0998512ab0876c",0,0,0,0,0,2,0,0,0,0,0,0,1
"8dd2a31696f3ba271461721e2e189073",0,0,0,0,0,2,0,0,0,0,0,0,1
"5b9bd3ad9f1ce750469e54107f23a21e",0,0,0,1,0,0,0,0,0,0,0,0,0
"7db93e38cf78596ef15a7fb407ad6e7c",0,0,0,0,0,0,0,0,0,0,0,0,1
"87480cdfbe93d25ac5875b777d87e84d",0,0,0,0,0,0,0,2,0,0,4,0,0
"ec1244cc38c8ab9990cc883e754f30b5",0,12,0,0,2,0,0,8,0,7,0,0,1
"e171e5beaa7165b2bb64630f4e6083e7",0,0,0,0,0,0,1,0,0,0,0,0,0
"8190ba68af261452a7826f88200c4c14",54,15,0,0,0,0,0,0,0,0,0,0,0
"6e204ee2adc9ae27b065b34113b78576",0,16,0,0,0,0,0,3,0,82,20,0,0
"daffb6f7fbbfe50fabb587667a3bd7d0",0,0,0,0,0,0,0,0,0,0,4,0,0
"faba4cfabbce4a3a3adc209bc80d60da",0,0,0,0,0,0,0,0,0,0,0,0,3
"f5a327332d43776d6c2e997b6c98d5a4",0,0,0,0,0,0,0,0,0,0,0,1,1
"e40e6ae2061a096f34ffcd587fe7a9f4",3,0,0,3,0,0,0,0,22,0,0,0,0
"b8db04af0f451421cc86976b1c059ad3",0,0,9,0,3,19,2,0,0,0,0,2,5
"217df94c25108995fab1e68016273c40",0,0,10,0,0,12,8,0,0,0,10,3,2
"afecf31b933bf49b2cf01a360dc48dc3",0,0,0,0,2,0,0,0,0,0,0,0,0
"25764ba5717da327e058a76077791941",57,0,49,18,17,25,18,7,27,0,0,24,98
"af499cd93ba2a14909184c3072696d40",0,0,2,0,0,0,0,0,0,0,3,0,0
"e27a57b9b8d57e625478fd5d3013d489",0,0,0,0,0,0,0,0,0,0,0,3,0
"801987f795c2da03d16f81a6b748ed22",40,0,0,0,1,1,0,0,49,0,0,0,4
"248affbaef0da9f1beee3bf565ebd758",0,11,4,6,0,0,0,0,0,0,0,0,0
"74df1439b98d5068b0b4b9547b78bc19",0,0,0,0,0,0,1,0,0,0,0,0,2
"0fd715921805a3b4748445c57fb4b03b",0,9,0,0,0,0,0,0,0,0,0,0,0
"8b86d8107a8975526f3d55757ea22176",0,0,0,0,0,0,0,0,0,0,0,0,3
"40dac0535b9d974565e22e85afedfc49",0,0,7,13,0,0,0,0,5,0,0,0,0
"9f19fb845a2d84328d6b47412f756c82",0,0,0,0,0,0,1,0,0,0,0,0,6
"2ecd657abba4ddff5f4cde956f9dbca9",0,0,3,16,0,4,5,0,0,0,0,8,1
"6e146278200c65a8ff2d9b321cc0a1a5",0,0,1,4,1,1,1,0,0,0,0,2,4
"337bf1e6d28f941fe8788d3411d1b771",0,0,0,0,0,0,0,0,0,0,0,0,2
"1b7e8efdf1263be3eeb7368f96a9840b",0,0,0,0,0,0,0,0,0,0,0,6,0
"e2bd993cd08697da2c615b7e83a0808a",0,0,0,0,0,0,0,0,0,0,0,1,1
"2ee189d05c4d8a28ba43a49d8c3a1d3e",0,7,0,0,0,0,0,0,0,0,0,0,0
"f9a2e1aa8d6761f0c9c9681ab7b7240b",0,0,0,0,2,0,0,0,0,0,12,0,0
"0d46c4b03f437ae0b1fbf6178f573d0d",16,0,25,10,3,12,4,0,3,0,6,26,25
"5c18ad09381fe850198be951b5213386",0,0,1,0,0,2,0,0,0,0,0,0,3
"2d5882af4a7d01927ab1242b6363a7c3",0,0,0,0,0,0,2,0,0,0,0,0,0
"99626c0df4e123b04f8ce91d369672a0",0,0,0,0,0,1,0,0,0,0,0,0,0
"f9a2fb48b56e9f4b5c053f9f37715a4d",0,0,0,0,0,0,0,0,0,0,0,1,0
"291131fd6e12b21790f60f0d1e382990",0,0,0,0,0,0,0,0,0,0,0,1,0
"bfc07a245830316d70cf5229a26e8345",0,0,0,0,0,0,0,0,0,0,0,0,6
"213e03a37763b702d12ebccdd8c034fc",0,0,0,0,0,0,0,0,0,0,0,2,4
"7ad8471e1c6c30173a8b7372989ee271",0,0,0,0,0,0,1,0,0,0,0,0,1
"24a9ac05316b0feecab0cf9921bbce87",19,0,0,0,7,40,15,4,24,0,0,220,67
"4ad7a6f61f08fb743444a47145f5fd46",0,0,0,25,1,0,1,0,0,32,0,5,0
"e3103be1773442f98eef610ffabee4e8",0,0,0,10,0,0,1,0,0,0,0,0,0
"4cbe5d07d68b6cf265f342f54fd3672c",0,0,0,4,0,0,0,0,0,0,0,0,0
"d77e1efe309e3cff114f29e0c427e98f",0,0,0,0,0,1,6,0,9,0,0,2,2
"bf38dd767f29113bd74ebe372392f088",0,0,0,0,0,0,5,0,0,0,0,3,0
"c39c10a4bb3ab44b639aec19f4be8025",0,0,0,0,0,2,4,0,0,0,0,0,0
"0a355ad9f26bd395667d142301011465",0,0,0,0,0,1,0,0,0,0,0,1,0
"0cf1e8def7e6c1407933469158d3b8fb",0,0,0,0,0,0,1,0,0,0,0,0,6
"ba43d6f4517bcc90e4debf6ea2c3a94e",0,0,0,0,0,3,0,0,0,0,0,0,0
"e6bdeabe43bb37fd713fcb18008c0a2d",0,0,0,0,0,0,3,0,0,0,0,0,0
"d6501123745d5680dc17e3f111ddf8bc",0,0,0,0,0,3,0,0,0,0,0,0,0
"8456c26721f789edcd148548b437493c",0,0,2,0,0,0,0,0,0,0,0,0,1
"d1361de67d0cfee87e602fc77a3b8cef",0,0,6,1,0,1,0,0,0,0,0,3,4
"d01834b6dfb30abb3731c85f8383a7b2",0,0,4,0,0,3,2,12,0,0,0,1,6
"edaae6b64c0cbc8652e739aec2c48c04",9,13,4,4,4,11,3,6,0,0,2,16,11
"0ff977feb8cdffaa0604b031f248c5d4",0,0,0,0,3,0,2,0,0,0,0,0,0
"5c33d743f82cc8d7979bc7fdafb2fb60",9,0,0,0,0,20,14,8,0,0,0,2,0
"e89197b5799dea34f5e1dd546ad7df27",0,0,0,0,0,0,0,0,0,0,0,0,2
"9a124a411d52a95f6ae79f9da4b0a421",0,0,0,0,0,0,1,0,0,0,0,0,0
"adacb0b4e5f4202d836a87d9699d338c",0,0,0,0,0,0,2,0,0,0,0,0,1
"2b72ec2e851d1c56bb7cc7d8da390d71",0,0,0,0,0,0,0,0,0,0,0,2,0
"dfe9882a5ed37897f3ccecc17f857f87",0,0,0,0,0,0,0,0,0,0,30,0,0
"24ca995b9eff4d2dec054b6f6c025fa4",0,0,0,0,0,0,0,0,49,0,0,0,0
"7202a4d86a8bdf920ec72e6873c16ee2",0,0,0,0,0,0,0,0,60,0,0,0,0
"4e4c5cd13eb19d445bd2ee4bd71a7053",117,133,5,60,13,0,0,0,78,220,107,0,0
"88b7d40aa11ffb6904e8afdcad84b670",0,0,0,13,0,0,0,0,0,35,0,0,0
"d22c65068df0bef40686b17d24c03cfa",0,0,0,0,11,0,0,0,0,0,0,0,0
"a9650c06a6d95371b018a3285a839660",0,0,0,0,0,0,0,0,0,0,10,0,0
"3388bcdde48b0e3d84f2470c7c1ec12c",0,0,0,9,0,0,0,0,0,0,0,0,0
"7fdccb21f64553022f1792a853a36d2c",0,0,0,0,0,0,0,0,12,0,0,0,0
"c62f325cfd2435d0fff228d944889094",0,0,0,0,4,0,0,0,0,0,0,0,0
"ac7b2fbabcf87bcf61a17844b7d4f1f4",0,0,0,0,0,0,1,0,0,0,0,0,0
"c528d6ae45594477fc782148578e08e9",13,0,0,0,0,0,0,0,0,0,1,0,1
"496e82a3b0d577810fda77a3963a1b8a",58,0,0,0,0,0,0,0,0,0,0,0,0
"b06c96f6ff26e0f2bdf8a5f251946604",0,0,0,6,0,0,0,0,0,0,0,0,0
"d2e83bc3b804c9470f2c7489fcb03e1c",0,0,12,0,0,0,0,0,9,0,0,1,13
"a9d90045350746e013ba812ff38217ab",0,0,0,0,0,0,0,0,0,0,0,0,2
"683030e338e01346a10af288eb51b042",0,0,4,32,0,2,2,16,0,0,0,2,3
"4c6b251db4a57a4a8e7222f6ed640b77",0,1,0,0,0,0,0,2,0,0,27,0,0
"307ff84454bef0cfe8795f111fee9919",0,0,2,10,49,4,0,0,0,0,0,7,0
"69516f944770c0271919cb94f5da83ce",10,0,0,0,61,0,0,0,0,0,0,0,0
"0f1f29ad11629ff70c3fdd4141acdd8a",0,0,0,0,0,0,0,0,4,0,0,2,3
"f5775f8d657c19d8372121a9437cd2aa",0,0,0,0,0,0,0,5,0,0,0,0,0
"6774c12e4c31b7c680670f89bbef3f05",14,45,3,13,0,0,2,5,3,19,8,0,0
"6c31c1b2da066aa1fab7d3e557dec56e",0,0,0,0,0,0,0,0,0,0,0,0,1
"63190ff6597e65880b4c6189d1ae3dbe",0,0,1,0,4,2,0,0,4,0,0,2,5
"e14ef41e20cca8ab2155835c901eb71d",0,0,0,2,2,0,0,0,0,0,0,0,2
"a376a37287bbacfb614d6274b1b1526d",0,0,0,0,0,0,0,0,0,0,0,1,0
"f6fc8d5a958323bf6bb32011c3ae3db3",0,0,0,0,0,0,1,0,0,0,0,0,2
"324957722871201f6ff98d964ea373e0",0,25,228,91,96,0,0,9,0,0,0,0,0
"fe61c60f5b318e6b6281da2542f990b3",0,0,0,0,0,0,0,0,0,0,0,0,1
"3de4b7649386addeedd9714561dfa728",0,0,0,0,0,0,1,0,0,0,0,1,1
"4bbe825d296e96f470516fca9f98a9aa",0,0,0,0,0,1,0,0,0,0,0,0,12
"07ad1aeb2d2dc8bb872fa9af6dd5f4ef",0,0,0,0,0,0,3,0,0,0,18,0,0
"33585e6ec7533916081716784b5b407c",0,0,0,0,0,0,0,1,0,0,5,0,0
"e114b3bb90fedb2478d593ec3873b30a",0,0,0,0,0,0,1,0,0,0,0,0,0
"386c26e5e89b6e80f0316e2f7899d4fc",0,0,1,0,0,1,1,0,0,0,16,5,4
"e83187abb002cdcad9102a6db4fd67b1",38,36,27,69,131,0,5,8,66,0,11,29,22
"1dfa8960e057531e60c3a3251769e114",0,12,0,9,0,0,0,2,0,9,0,0,0
"7cd28c1f873dbf4fcfbff3e17899e036",0,3,1,0,0,0,0,0,0,0,0,2,1
"324f20b599c834f4f3a62d3ef8668aa2",0,0,1,0,0,0,0,0,0,0,0,2,0
"fc1098e1bcf9e01d7cc19cfcfbdc79eb",0,0,4,0,0,1,0,0,0,0,0,0,5
"51ac67c839ac1b470af6271f3a39780a",0,0,11,7,4,0,3,0,0,0,0,0,4
"62451f80fb587585250be29d7a1bf81a",4,0,2,0,0,0,0,0,18,0,0,1,1
"4f6b1704b589462b751f35c0fcb4114b",0,0,1,0,0,0,0,0,0,0,0,0,1
"eb5ea4a50b4a1d5d5b36727f4f5d40e4",34,0,0,0,0,0,0,0,0,0,0,0,0
"19714fb6601ff58bedef72d7a901f42e",21,0,0,0,0,0,0,0,0,0,0,0,0
"6a3eec1ebc02f762669c619113235a3b",0,0,0,0,0,0,0,0,0,0,0,0,1
"94078f449d94326d51e2ee8d8d20232b",0,23,0,1,0,0,0,0,0,0,3,0,0
"9d45ad0e2c9fa48e1f6f0cbe266cf060",0,3,0,0,0,0,0,0,0,0,0,0,0
"234452962fe225e69a870fa85dedc66e",0,0,0,0,0,0,0,0,0,0,7,0,0
"2e930724c54f0daf073823f55b14bf74",0,0,0,0,0,0,0,4,0,0,0,0,0
"f1786af91a1a086c909800caa38cb960",0,0,0,0,4,0,0,6,0,0,7,0,0
"034f4da8c9a81793f38b83ddb1d9db34",2,33,5,8,22,1,0,0,3,11,78,0,0
"0c4ebff52603f4cfbb400d3144acf255",0,0,0,4,0,0,0,0,0,0,0,0,0
"7a78518ed7d189ddd4bdf21f2ed81559",0,0,0,0,0,0,0,0,0,8,0,0,0
"2fc1a35aaa5a03f6c8c165680bb3a371",0,0,0,4,0,0,0,0,0,0,0,0,0
"2d0b9c6fc0942ea2c2a35ed21c31974b",0,0,0,4,0,0,0,0,0,0,0,0,0
"ecd4afc05017a73896daf66d40bd80dc",0,0,0,16,0,0,0,0,0,0,0,0,0
"0f6d7605f4239f0e96ea3208fe182dc7",0,0,0,6,0,0,0,0,0,0,0,0,0
"f54da1e69b96fd1778b253193f710d5c",0,6,0,0,0,0,0,0,0,0,0,0,0
"3e239f7befad18511c91ef664ba75923",0,231,0,14,0,0,0,4,25,21,88,0,0
"93b508ba7bd6f21a4c1c4e0ce6ddf226",17,0,20,13,30,0,0,0,20,0,0,5,0
"9beca931c0b36b08993127b10d8b9993",0,0,0,0,0,0,0,0,3,0,6,1,3
"948198fdf77f85f3517fc7240ff1cb7a",0,0,0,0,0,0,0,4,0,0,0,0,0
"905044dd8ef2dc2074702746262df24e",15,0,0,7,0,0,0,0,0,0,0,2,1
"2b272566d70a9a93a4fe8e09d521e89e",0,0,0,0,0,6,3,0,0,0,0,1,2
"b5dd360ccdeb69024aa918c8e2af3b69",0,0,4,0,0,1,6,0,0,0,0,2,19
"27c44beea11bacdc6ef56abddd59d11f",0,0,4,0,0,2,1,1,0,0,0,6,12
