sample_name_backup,expedition_number,BiologicalMatter,faith_pd,faith_SR
E1.10.Poc.dami.1.20140728.T,E1,Coral Tissue,2.413143774,22
E1.10.Poc.dami.1.20140731.M,E1,Coral Mucus,3.885307188,33
E1.10.Poc.dami.1.20140731.S,E1,Coral Skeleton,11.07031449,103
E1.10.Poc.dami.1.20140731.T,E1,Coral Tissue,10.29419227,64
E1.10.Poc.dami.1.20140905.S,E1,Coral Skeleton,3.184593404,43
E1.10.Sty.pist.1.20140807.M,E1,Coral Mucus,6.08396921,58
E1.10.Sty.pist.1.20140815.M,E1,Coral Mucus,13.3943043,100
E1.10.Sty.pist.1.20140815.T,E1,Coral Tissue,2.075266802,38
E1.11.Fun.sp.1.20140730.M,E1,Coral Mucus,24.21068995,143
E1.11.Fun.sp.1.20140730.T,E1,Coral Tissue,19.33210782,131
E1.11.Fun.sp.1.20140811.M,E1,Coral Mucus,9.895461292,58
E1.11.Fun.sp.1.20140811.S,E1,Coral Skeleton,10.89217357,102
E1.11.Fun.sp.1.20140811.T,E1,Coral Tissue,8.897863855,42
E1.11.Lep.tran.1.20140731.M,E1,Coral Mucus,2.535827933,33
E1.11.Lep.tran.1.20140731.S,E1,Coral Skeleton,19.77448832,118
E1.11.Lep.tran.1.20140731.T,E1,Coral Tissue,18.88896993,108
E1.11.Psa.cont.1.20140730.M,E1,Coral Mucus,2.35220004,31
E1.11.Psa.cont.1.20140730.S,E1,Coral Skeleton,5.431638976,44
E1.11.Psa.cont.1.20140730.TS,E1,Whole Coral,3.122922586,30
E1.11.Psa.cont.1.20140730.T,E1,Coral Tissue,4.351491399,36
E1.11.Psa.digi.1.20140807.M,E1,Coral Mucus,18.37002341,133
E1.11.Psa.digi.1.20140807.S,E1,Coral Skeleton,25.91291328,234
E1.11.Psa.digi.1.20140807.T,E1,Coral Tissue,10.82577408,71
E1.14.Phy.lich.1.20140801.S,E1,Coral Skeleton,25.4606994,183
E1.14.Phy.lich.1.20140811.M,E1,Coral Mucus,2.139538776,23
E1.14.Phy.lich.1.20140811.S,E1,Coral Skeleton,30.9616575,273
E1.14.Phy.lich.1.20140811.T,E1,Coral Tissue,4.346981694,57
E1.15.Dip.heli.1.20140726.M,E1,Coral Mucus,9.691680109,58
E1.15.Dip.heli.1.20140726.S,E1,Coral Skeleton,18.58185427,138
E1.15.Dip.heli.1.20140726.T,E1,Coral Tissue,20.08928041,144
E1.15.Dip.heli.1.20140809.M,E1,Coral Mucus,15.54648237,114
E1.15.Dip.heli.1.20140809.S,E1,Coral Skeleton,31.66986526,239
E1.15.Dip.heli.1.20140809.T,E1,Coral Tissue,30.49486362,280
E1.15.Dip.heli.1.20140815.M,E1,Coral Mucus,9.954953813,68
E1.15.Dip.heli.1.20140815.S,E1,Coral Skeleton,18.51787047,140
E1.15.Dip.heli.1.20140815.T,E1,Coral Tissue,22.11923717,146
E1.15.Dip.heli.1.20140905.M,E1,Coral Mucus,5.789333688,96
E1.15.Dip.heli.1.20140905.S,E1,Coral Skeleton,30.12462285,241
E1.15.Dip.heli.1.20140905.T,E1,Coral Tissue,22.10305592,203
E1.17.Cau.furc.1.20140801.DS,E1,Coral Skeleton,20.29743702,148
E1.17.Cau.furc.1.20140801.M,E1,Coral Mucus,13.84680763,61
E1.17.Cau.furc.1.20140801.S,E1,Coral Skeleton,13.66474646,83
E1.17.Cau.furc.1.20140801.T,E1,Coral Tissue,16.60681231,87
E1.17.Ech.lame.1.20140905.M,E1,Coral Mucus,6.982380454,104
E1.17.Ech.lame.1.20140905.S,E1,Coral Skeleton,5.604464793,92
E1.17.Ech.lame.1.20140905.T,E1,Coral Tissue,6.300664962,96
E1.17.Ech.mamm.1.20140728.M,E1,Coral Mucus,5.613896076,64
E1.17.Ech.mamm.1.20140728.S,E1,Coral Skeleton,3.38876202,30
E1.17.Ech.mamm.1.20140815.M,E1,Coral Mucus,13.48285404,100
E1.17.Ech.mamm.1.20140815.T,E1,Coral Tissue,6.726764653,70
E1.17.Fav.sp.1.20140805.M,E1,Coral Mucus,8.785885385,42
E1.17.Fav.sp.1.20140805.S,E1,Coral Skeleton,8.619650258,54
E1.17.Fav.sp.1.20140805.T,E1,Coral Tissue,11.84218197,101
E1.17.Fav.sp.1.20140811.M,E1,Coral Mucus,22.73338213,138
E1.17.Fav.sp.1.20140811.S,E1,Coral Skeleton,20.42554924,167
E1.17.Fav.sp.1.20140811.T,E1,Coral Tissue,16.18896514,102
E1.17.Fav.sp.2.20140805.M,E1,Coral Mucus,19.14631821,116
E1.17.Fav.sp.2.20140805.S,E1,Coral Skeleton,16.4840902,164
E1.17.Fav.sp.2.20140805.T,E1,Coral Tissue,17.16463739,118
E1.17.Hyd.exes.1.20140803.M,E1,Coral Mucus,6.898136966,47
E1.17.Hyd.exes.1.20140803.S,E1,Coral Skeleton,14.22909811,128
E1.17.Hyd.exes.1.20140803.T,E1,Coral Tissue,5.977327478,53
E1.19.Lob.sp.1.20140730.M,E1,Coral Mucus,9.208451302,114
E1.19.Lob.sp.1.20140730.S,E1,Coral Skeleton,18.24805177,113
E1.19.Lob.sp.1.20140730.T,E1,Coral Tissue,3.105785074,48
E1.19.Lob.sp.1.20140809.M,E1,Coral Mucus,15.77343316,130
E1.19.Lob.sp.1.20140809.S,E1,Coral Skeleton,25.61201134,199
E1.19.Lob.sp.1.20140809.T,E1,Coral Tissue,22.86423919,166
E1.19.Sym.sp.1.20140724.M,E1,Coral Mucus,2.819441825,63
E1.19.Sym.sp.1.20140724.S,E1,Coral Skeleton,19.51697275,141
E1.19.Sym.sp.1.20140814.M,E1,Coral Mucus,8.593994057,70
E1.19.Sym.sp.1.20140814.S,E1,Coral Skeleton,5.939746446,55
E1.19.Sym.sp.1.20140814.T,E1,Coral Tissue,5.856081932,48
E1.19.Sym.sp.1.20140815.M,E1,Coral Mucus,6.87231036,71
E1.19.Sym.sp.1.20140815.S,E1,Coral Skeleton,4.938003569,66
E1.19.Sym.sp.1.20140815.T,E1,Coral Tissue,2.82000567,63
E1.19.Sym.sp.1.20140905.M,E1,Coral Mucus,10.34358476,121
E1.19.Sym.sp.1.20140905.S,E1,Coral Skeleton,14.76896393,108
E1.19.Sym.sp.1.20140905.T,E1,Coral Tissue,18.2145025,109
E1.2.Tur.pelt.1.20140814.M,E1,Coral Mucus,10.99549594,51
E1.2.Tur.pelt.1.20140814.S,E1,Coral Skeleton,9.316044332,95
E1.2.Tur.pelt.1.20140814.T,E1,Coral Tissue,18.84916737,143
E1.2.Tur.reni.1.20140730.M,E1,Coral Mucus,17.85621433,111
E1.2.Tur.reni.1.20140730.S,E1,Coral Skeleton,19.4021336,164
E1.2.Tur.reni.1.20140730.T,E1,Coral Tissue,22.37739575,158
E1.2.Tur.reni.1.20140814.M,E1,Coral Mucus,17.44550898,113
E1.2.Tur.reni.1.20140814.T,E1,Coral Tissue,18.57108057,153
E1.2.Tur.stel.1.20140805.M,E1,Coral Mucus,16.06695795,87
E1.2.Tur.stel.1.20140805.S,E1,Coral Skeleton,24.25977868,215
E1.2.Tur.stel.1.20140805.T,E1,Coral Tissue,16.74300975,121
E1.3.Por.cyli.1.20140801.M,E1,Coral Mucus,1.839832349,16
E1.3.Por.cyli.1.20140801.S,E1,Coral Skeleton,13.17673431,95
E1.3.Por.cyli.1.20140801.T,E1,Coral Tissue,4.76915609,22
E1.3.Por.cyli.1.20140815.M,E1,Coral Mucus,12.63970041,69
E1.3.Por.cyli.1.20140815.S,E1,Coral Skeleton,15.15986003,102
E1.3.Por.cyli.1.20140815.T,E1,Coral Tissue,8.590756559,64
E1.3.Por.loba.1.20140724.M,E1,Coral Mucus,12.46258987,69
E1.3.Por.loba.1.20140726.M,E1,Coral Mucus,6.50520007,26
E1.3.Por.loba.1.20140726.S,E1,Coral Skeleton,22.99478109,163
E1.3.Por.loba.1.20140726.T,E1,Coral Tissue,14.55308625,86
E1.3.Por.loba.1.20140905.M,E1,Coral Mucus,8.121457304,66
E1.3.Por.loba.1.20140905.S,E1,Coral Skeleton,7.279610864,79
E1.3.Por.loba.1.20140905.T,E1,Coral Tissue,22.72415331,147
E1.4.Pac.rugo.1.20140728.M,E1,Coral Mucus,6.150646008,53
E1.4.Pac.rugo.1.20140728.S,E1,Coral Skeleton,2.454659536,38
E1.4.Pac.rugo.1.20140728.T,E1,Coral Tissue,4.879248722,52
E1.4.Pac.rugo.1.20140814.M,E1,Coral Mucus,19.43722737,159
E1.4.Pac.rugo.1.20140814.S,E1,Coral Skeleton,17.62250902,150
E1.4.Pac.rugo.1.20140814.T,E1,Coral Tissue,1.449090155,18
E1.4.Pac.spec.1.20140801.S,E1,Coral Skeleton,8.234977939,66
E1.4.Pac.spec.1.20140801.T,E1,Coral Tissue,1.973815256,33
E1.4.Pac.spec.1.20140811.M,E1,Coral Mucus,11.53488229,103
E1.4.Pac.spec.1.20140811.S,E1,Coral Skeleton,1.861575643,21
E1.4.Pac.spec.1.20140811.T,E1,Coral Tissue,4.003804879,52
E1.5.Gal.astr.1.20140728.M,E1,Coral Mucus,20.0392211,145
E1.5.Gal.astr.1.20140728.S,E1,Coral Skeleton,20.43978649,145
E1.5.Gal.astr.1.20140728.T,E1,Coral Tissue,21.23787495,155
E1.5.Gal.astr.1.20140807.M,E1,Coral Mucus,13.49419895,86
E1.5.Gal.astr.1.20140807.S,E1,Coral Skeleton,8.138330667,63
E1.5.Gal.astr.1.20140807.T,E1,Coral Tissue,11.08228024,68
E1.5.Gal.astr.1.20140814.M,E1,Coral Mucus,15.43507016,161
E1.5.Gal.astr.1.20140814.S,E1,Coral Skeleton,13.97542277,124
E1.5.Gal.astr.1.20140814.T,E1,Coral Tissue,23.37667894,172
E1.5.Gal.astr.1.20140905.M,E1,Coral Mucus,12.21930647,90
E1.5.Gal.astr.1.20140905.S,E1,Coral Skeleton,25.77188411,226
E1.5.Gal.astr.1.20140905.T,E1,Coral Tissue,32.14261739,247
E1.6.Acr.humi.1.20140731.M,E1,Coral Mucus,5.809849034,72
E1.6.Acr.humi.1.20140731.S,E1,Coral Skeleton,2.973811995,47
E1.6.Acr.humi.1.20140731.T,E1,Coral Tissue,1.250186309,24
E1.6.Acr.sp.1.20140905.M,E1,Coral Mucus,3.334888086,89
E1.6.Acr.sp.1.20140905.S,E1,Coral Skeleton,1.909196687,51
E1.6.Acr.sp.1.20140905.T,E1,Coral Tissue,0.942101362,41
E1.6.Iso.pali.1.20140803.M,E1,Coral Mucus,11.84767357,94
E1.6.Iso.pali.1.20140803.S,E1,Coral Skeleton,5.160832316,47
E1.6.Iso.pali.1.20140803.T,E1,Coral Tissue,16.11705226,144
E1.6.Iso.pali.1.20140815.M,E1,Coral Mucus,12.94027898,100
E1.6.Iso.pali.1.20140815.S,E1,Coral Skeleton,20.80748933,152
E1.6.Iso.pali.1.20140815.T,E1,Coral Tissue,11.4137758,74
E1.6.Mon.hisp.1.20140807.M,E1,Coral Mucus,1.671211221,28
E1.6.Mon.hisp.1.20140807.S,E1,Coral Skeleton,3.326951809,30
E1.7.Pav.sp.1.20140905.M,E1,Coral Mucus,5.416127013,89
E1.7.Pav.sp.1.20140905.S,E1,Coral Skeleton,10.80506307,111
E1.7.Pav.sp.1.20140905.T,E1,Coral Tissue,12.73566058,82
E1.7.Pav.vari.1.20140805.M,E1,Coral Mucus,14.29180841,83
E1.7.Pav.vari.1.20140805.S,E1,Coral Skeleton,14.94672045,146
E1.7.Pav.vari.1.20140805.T,E1,Coral Tissue,18.03027822,110
E1.7.Pav.vari.1.20140815.M,E1,Coral Mucus,9.77361607,96
E1.7.Pav.vari.1.20140815.S,E1,Coral Skeleton,18.2093773,135
E1.7.Pav.vari.1.20140815.T,E1,Coral Tissue,20.49807513,145
E1.7.Pav.veno.1.20140809.M,E1,Coral Mucus,16.75932026,120
E1.7.Pav.veno.1.20140809.S,E1,Coral Skeleton,21.8425963,149
E1.7.Pav.veno.1.20140809.T,E1,Coral Tissue,10.02055048,63
E1.7.Pav.veno.1.20140811.M,E1,Coral Mucus,16.11112532,112
E1.7.Pav.veno.1.20140811.S,E1,Coral Skeleton,24.44419834,191
E1.7.Pav.veno.1.20140811.T,E1,Coral Tissue,20.28543885,118
E10.10.Poc.dami.1.20150630.M,E10,Coral Mucus,4.894420277,62
E10.10.Poc.dami.1.20150630.T,E10,Coral Tissue,0.908030997,23
E10.10.Sty.pist.1.20150630.M,E10,Coral Mucus,2.803537731,63
E10.10.Sty.pist.1.20150630.S,E10,Coral Skeleton,3.775995441,30
E10.10.Sty.pist.2.20150630.M,E10,Coral Mucus,8.164717296,104
E10.10.Sty.pist.2.20150630.T,E10,Coral Tissue,0.884349058,18
E10.10.Sty.pist.3.20150630.M,E10,Coral Mucus,1.300477127,37
E10.17.Fav.abdi.1.20150630.M,E10,Coral Mucus,3.000756979,40
E10.17.Fav.abdi.1.20150630.S,E10,Coral Skeleton,9.394186819,50
E10.17.Fav.abdi.1.20150630.T,E10,Coral Tissue,5.916519775,27
E10.17.Fav.abdi.2.20150630.M,E10,Coral Mucus,3.403137337,50
E10.17.Fav.pali.1.20150630.S,E10,Coral Skeleton,4.331472865,43
E10.17.Gon.favu.1.20150629.M,E10,Coral Mucus,11.11502,94
E10.17.Gon.favu.1.20150629.S,E10,Coral Skeleton,9.016196794,75
E10.17.Gon.favu.1.20150629.T,E10,Coral Tissue,12.70139321,90
E10.17.Gon.favu.1.20150630.M,E10,Coral Mucus,4.00066513,55
E10.17.Gon.favu.1.20150630.S,E10,Coral Skeleton,23.5489326,171
E10.17.Gon.favu.1.20150630.T,E10,Coral Tissue,22.71148753,160
E10.17.Gon.favu.2.20150630.M,E10,Coral Mucus,3.581646097,65
E10.17.Gon.favu.2.20150630.S,E10,Coral Skeleton,21.26564467,159
E10.17.Gon.favu.2.20150630.T,E10,Coral Tissue,27.44176694,203
E10.17.Mon.curt.3.20150629.M,E10,Coral Mucus,2.055904883,38
E10.17.Mon.curt.3.20150629.S,E10,Coral Skeleton,17.83574133,137
E10.17.Mon.curt.3.20150629.T,E10,Coral Tissue,7.82179191,38
E10.Aca.hill.1.20150629.M,E10,Coral Mucus,31.17177194,244
E10.Aca.hill.1.20150629.S,E10,Coral Skeleton,12.56066606,92
E10.Aca.hill.2.20150629.M,E10,Coral Mucus,2.136811239,37
E10.Aca.hill.2.20150629.S,E10,Coral Skeleton,4.130845142,38
E10.Aca.hill.3.20150629.M,E10,Coral Mucus,7.768836796,57
E10.Aca.hill.3.20150629.S,E10,Coral Skeleton,5.795746263,49
E10.Acr.cyth.1.20150627.M,E10,Coral Mucus,7.335788946,118
E10.Acr.cyth.1.20150627.S,E10,Coral Skeleton,1.802520552,47
E10.Acr.cyth.1.20150627.T,E10,Coral Tissue,0.502843452,11
E10.Acr.cyth.2.20150627.M,E10,Coral Mucus,11.58746,139
E10.Acr.cyth.2.20150627.S,E10,Coral Skeleton,4.778260817,63
E10.Acr.cyth.2.20150627.T,E10,Coral Tissue,2.979473102,26
E10.Acr.cyth.3.20150627.M,E10,Coral Mucus,4.220146434,62
E10.Acr.cyth.3.20150627.S,E10,Coral Skeleton,1.803550232,35
E10.Acr.cyth.3.20150627.T,E10,Coral Tissue,0.964501101,14
E10.Acr.pali.1.20150627.M,E10,Coral Mucus,9.798027826,98
E10.Acr.pali.2.20150627.M,E10,Coral Mucus,11.89705958,84
E10.Acr.pali.2.20150627.S,E10,Coral Skeleton,6.134962656,53
E10.Acr.pali.2.20150627.T,E10,Coral Tissue,5.445687741,33
E10.Acr.pali.3.20150627.M,E10,Coral Mucus,5.201193714,65
E10.Acr.pali.3.20150627.S,E10,Coral Skeleton,3.93111734,44
E10.Acr.pali.3.20150627.T,E10,Coral Tissue,13.20660947,100
E10.Alv.alli.1.20150628.M,E10,Coral Mucus,3.658882245,22
E10.Alv.alli.1.20150628.T,E10,Coral Tissue,9.77538038,81
E10.Alv.alli.2.20150628.M,E10,Coral Mucus,3.01097199,56
E10.Alv.alli.2.20150628.S,E10,Coral Skeleton,18.24447232,115
E10.Alv.alli.2.20150628.T,E10,Coral Tissue,19.97094138,129
E10.Alv.alli.3.20150628.M,E10,Coral Mucus,6.326943357,72
E10.Alv.alli.3.20150628.S,E10,Coral Skeleton,9.93924577,89
E10.Alv.alli.3.20150628.T,E10,Coral Tissue,26.94927782,221
E10.Cyp.micr.1.20150627.M,E10,Coral Mucus,5.211701984,64
E10.Cyp.micr.1.20150627.T,E10,Coral Tissue,6.95041649,47
E10.Cyp.sera.2.20150628.M,E10,Coral Mucus,6.696649927,51
E10.Fav.abdi.1.20150629.M,E10,Coral Mucus,8.677789535,33
E10.Fav.abdi.1.20150629.T,E10,Coral Tissue,1.71017624,11
E10.Mon.curt.1.20150629.M,E10,Coral Mucus,15.12378399,116
E10.Mon.curt.1.20150629.S,E10,Coral Skeleton,4.505817531,25
E10.Mon.curt.1.20150629.T,E10,Coral Tissue,6.691704417,38
E10.Mon.curt.2.20150629.M,E10,Coral Mucus,2.503731932,63
E10.Mon.curt.2.20150629.T,E10,Coral Tissue,4.089996688,30
E10.Poc.dami.1.20150628.M,E10,Coral Mucus,1.47025645,31
E10.Poc.dami.1.20150628.S,E10,Coral Skeleton,4.871332475,35
E10.Poc.dami.1.20150628.T,E10,Coral Tissue,1.321738748,23
E10.Poc.dami.2.20150628.S,E10,Coral Skeleton,7.173094964,101
E10.Poc.dami.2.20150628.T,E10,Coral Tissue,1.724270687,23
E10.Por.hero.1.20150628.M,E10,Coral Mucus,3.535208457,22
E10.Por.hero.1.20150628.S,E10,Coral Skeleton,7.250413884,32
E10.Por.hero.1.20150628.T,E10,Coral Tissue,3.305669759,21
E10.Por.hero.2.20150628.M,E10,Coral Mucus,5.362714904,31
E10.Por.hero.2.20150628.S,E10,Coral Skeleton,6.649731624,36
E10.Por.hero.2.20150628.T,E10,Coral Tissue,1.51312116,14
E10.Por.hero.3.20150628.M,E10,Coral Mucus,1.483767514,9
E10.Por.hero.3.20150628.S,E10,Coral Skeleton,10.07952811,74
E10.Por.hero.3.20150628.T,E10,Coral Tissue,3.624309865,18
E10.Ser.cali.1.20150627.M,E10,Coral Mucus,1.362563475,37
E10.Ser.cali.2.20150627.M,E10,Coral Mucus,6.777337475,38
E10.Ser.cali.3.20150627.M,E10,Coral Mucus,10.50716358,95
E10.Sty.pist.1.20150628.M,E10,Coral Mucus,4.757612904,44
E10.Sty.pist.1.20150628.S,E10,Coral Skeleton,4.967282485,57
E10.Sty.pist.1.20150628.T,E10,Coral Tissue,1.966977641,32
E3.10.Sty.pist.1.20150124.M,E3,Coral Mucus,3.492473465,56
E3.10.Sty.pist.1.20150127.M,E3,Coral Mucus,9.804097444,106
E3.10.Sty.pist.2.20150124.M,E3,Coral Mucus,3.588270739,54
E3.11.Fun.sp.1.20150125.M,E3,Coral Mucus,9.689133573,175
E3.11.Fun.sp.1.20150125.T,E3,Coral Tissue,11.88087851,63
E3.11.Fun.sp.1.20150127.M,E3,Coral Mucus,5.253513445,45
E3.11.Fun.sp.1.20150127.T,E3,Coral Tissue,12.57707451,108
E3.11.Fun.sp.2.20150125.M,E3,Coral Mucus,6.160540743,129
E3.11.Fun.sp.2.20150125.T,E3,Coral Tissue,8.230116969,63
E3.14.Phy.lich.1.20150125.M,E3,Coral Mucus,9.109404914,105
E3.14.Phy.lich.1.20150125.S,E3,Coral Skeleton,1.778836309,27
E3.14.Phy.lich.1.20150129.M,E3,Coral Mucus,6.131405205,75
E3.14.Phy.lich.1.20150129.S,E3,Coral Skeleton,9.132666765,58
E3.14.Phy.lich.1.20150129.T,E3,Coral Tissue,0.974423676,13
E3.14.Phy.lich.2.20150125.M,E3,Coral Mucus,9.428939616,84
E3.14.Phy.lich.2.20150125.S,E3,Coral Skeleton,18.88889442,120
E3.15.Dip.heli.1.20150105.M,E3,Coral Mucus,2.157769306,57
E3.15.Dip.heli.1.20150105.S,E3,Coral Skeleton,21.08921399,155
E3.15.Dip.heli.1.20150105.T,E3,Coral Tissue,18.66304327,117
E3.15.Dip.heli.1.20150106.M,E3,Coral Mucus,6.643348447,58
E3.15.Dip.heli.1.20150106.S,E3,Coral Skeleton,31.31150164,247
E3.15.Dip.heli.1.20150106.T,E3,Coral Tissue,23.01607328,184
E3.15.Dip.heli.1.20150118.M,E3,Coral Mucus,9.871734543,89
E3.15.Dip.heli.1.20150118.S,E3,Coral Skeleton,4.48430844,29
E3.15.Dip.heli.1.20150118.T,E3,Coral Tissue,9.322862614,84
E3.15.Dip.heli.1.20150119.M,E3,Coral Mucus,4.672849828,95
E3.15.Dip.heli.1.20150119.S,E3,Coral Skeleton,12.74776555,78
E3.15.Dip.heli.1.20150120.M,E3,Coral Mucus,5.349996849,71
E3.15.Dip.heli.1.20150120.S,E3,Coral Skeleton,20.27110215,150
E3.15.Dip.heli.1.20150120.T,E3,Coral Tissue,13.24704004,56
