"id","E7.10.Poc.dami.2.20150621.S","E7.10.Poc.dami.3.20150621.S","E7.10.Ser.cali.1.20150622.S","E7.10.Ser.cali.2.20150622.S","E7.10.Ser.cali.3.20150622.S","E7.17.Cyp.micr.1.20150621.S","E7.17.Cyp.micr.2.20150621.S","E7.17.Cyp.micr.3.20150621.S","E7.17.Ech.lame.1.20150620.S","E7.17.Ech.lame.2.20150620.S","E7.17.Ech.lame.3.20150620.S","E7.17.Fav.abdi.1.20150623.S","E7.17.Fav.spA.1.20150623.S","E7.17.Fav.spA.2.20150623.S","E7.17.Fav.spB.1.20150623.S","E7.17.Fav.spC.1.20150623.S","E7.17.Gon.edwa.1.20150623.S","E7.17.Hyd.exce.1.20150620.S","E7.17.Hyd.exes.2.20150622.S","E7.17.Myc.elep.1.20150622.S","E7.17.Pla.sine.1.20150622.S","E7.17.Pla.sine.2.20150622.S","E7.17.Pla.sine.3.20150622.S","E7.19.Lob.hemp.1.20150619.S","E7.19.Lob.hemp.1.20150621.S","E7.19.Lob.hemp.2.20150619.S","E7.3.Por.loba.1.20150619.S","E7.3.Por.loba.2.20150619.S","E7.3.Por.loba.3.20150619.S","E7.3.Por.loba.4.20150619.S","E7.5.Gal.astr.1.20150622.S","E7.5.Gal.fasc.1.20150621.S","E7.5.Gal.fasc.1.20150622.S","E7.6.Acr.hyac.1.20150622.S","E7.6.Acr.hyac.2.20150622.S","E7.6.Acr.hyac.3.20150622.S","E7.6.Mon.aequ.1.20150620.S","E7.6.Mon.aequ.2.20150620.S","E7.6.Mon.aequ.3.20150620.S","E7.6.Mon.aequ.4.20150620.S","E7.7.Pav.vari.1.20150623.S","E7.7.Pav.vari.2.20150622.S"
"40252857b10947c17cca2bfc5dcefb0d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3ce47dc81f21beefb201feb1b883405e",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5ce23356aff9891223ebf7f4b299b51b",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a41fbc700ea9ad797795a3e16351732d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"2eb9f4e6c8a08a211d016177b3b52a52",0,0,10,0,0,0,2,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,7,0
"ed1ab8b5ba13f94b1f88dec71d663575",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,7,0,0,0,0,0,0,0,0,0,0
"e523b41ed2a0d26a7349193ab39df741",0,0,0,0,0,21,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"f4d2c147cb7fd46a9dfca13984e810f8",0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"9d3070231556a078f3fc273f876e67c3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75ee4b9e866a3edb5715f4645f5ab18f",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3e9cad600329bfb33036edd20e88d4cb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"76c280cab1e3ee78fa1509dc66c00aaf",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ab3477503f3a42316be20ceae4ab83fc",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"80fb0fab8829c50086327a0e96e6dfa1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"5996bd4d4a0e19369673647d01a8ee5d",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"a428d23d66c3366e2d8375eb57677a48",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,12,3,0,0,1,0,0,0,0,0,0,0,0,0,9
"072f0d441a9488875ea9d89b6132537e",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99fe039c9a46dbc6819e0334d56b4bbb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55085dfa4c9207904eeac42561818e84",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,5
"ec3954444fcd36603ae2b57aef0fb5ef",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"037f92e3933f1e0bec31389b8bb2f4d8",0,0,0,0,0,0,0,0,0,0,0,75,0,3,75,6,0,0,0,0,0,0,0,0,3,27,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0
"f5c3f3593d3325c3c884c480787b1cd0",0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f920a3b817bd51ab71b165d1c1f49f56",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0cce7f24a56349bad161b40bddedcbff",0,0,0,0,0,0,0,0,0,0,0,20,4,22,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27,0,6,0,0,0,0,0,0,0,0,0,15
"d20d22ca35333716ccc55f5dede23c8a",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f19443a7a5e70d09059aa5546bf649fd",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"83b94c7d5989c50954510662777c02ce",0,0,0,0,0,0,2,0,0,0,8,4,13,23,2,0,0,0,0,0,0,0,0,8,0,0,5,13,0,103,0,5,0,0,0,0,0,0,0,0,0,11
"fd717dee210cac12dc944096a7dfd841",0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a2b3d60279091f66fef0fbb41cfab460",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14acb41850fd16a57b17efb6fe735da0",0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cb39d8dc217b0ccde4fa86bb7cb4839c",0,24,0,0,45,0,0,0,0,0,0,17,8,1,2,7,21,0,0,29,0,0,0,0,0,20,0,0,0,0,551,47,0,0,0,0,0,0,0,0,0,5
"60cd552ad504cfd49cfcb59bea323f00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"97ef8a942c4fa12a7afe2374c9ea83a6",0,0,0,0,0,0,0,0,0,2,0,16,0,14,4,0,4,0,0,0,0,0,0,0,0,3,3,2,0,5,0,8,0,0,0,0,0,0,0,0,25,0
"d5db52ed9b62a400c646b59fcb23c20b",0,0,0,0,0,0,41,0,0,16,0,26,0,13,11,0,79,7,0,125,0,0,0,87,23,47,0,0,0,0,0,0,17,0,0,0,0,0,0,0,17,0
"569b934399369e0ce8e711d02c23e3cf",0,0,0,0,0,0,0,0,28,21,15,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
"3d22bfc52c2df0ad56939dc881ed8d80",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e8f881e1c1407258e2afc54c4fac8f5d",0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f40d2db91ce5f235038bc92fdd0f39d3",0,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0
"13edc181295be4d7edd686f3bb798dd6",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0
"5fb961fd7eba7a397f781588d0be753b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"9664570b7a132e46e0211cc2638c3ef1",0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,4,0,0,0,0,0,40,0,0,0,0,0,0,0
"0d830efe0a185ceaec850a76b31480cd",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d5111c4e4534b1fe85608f5dab0053f3",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7111aa6629ac9864d3eca361f74169eb",0,0,0,0,0,0,0,0,0,4,1,0,0,3,0,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
"e3c13c4a0df134cc47aea39a6e2111fb",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"283b5c1c840373155b098ea7d37fa522",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
"fc75b939932869133765d5145089e4e9",0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c4051ff603b2b2374e3d58b34661b3c1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
"c940267ad4bcd6de6f9a3ebe8354ee35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"af86f93d9918e60ce0e741c1c9b1bbe9",0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7ad0b0fa003a7a9e01b1edbcd18bdfba",0,0,0,0,0,24,0,0,0,11,0,0,101,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,10,0,30,0,0,0,0,0,0,0,0,0,0
"81ff0ee8de54214a37fa0ed9265c7aee",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"f213bb78bac3dc3862f4cee968129b65",0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,3,0,0,0,14,14,17,0,9,0,0,0,4,0,0,0,0,0,0,0,0,0,6
"56aa3902d4b3e173fb986b66dbc47ea0",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8fe470d4ecdd430e349fd89544374d9b",0,0,0,0,0,0,0,0,0,15,0,0,4,0,11,0,0,51,0,10,0,0,0,15,0,21,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"d0974979251dac5921dfdb673ad883bd",0,0,0,0,0,0,0,34,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
"a0ab7862960e0fc04012260b2e5d1853",0,0,0,0,0,15,4,0,0,25,61,71,16,36,53,0,45,0,0,42,70,0,0,61,0,25,0,0,0,0,11,15,0,0,0,0,0,0,0,0,78,42
"52d711d1633517d18ba81096983130a1",0,0,0,0,0,0,4,0,0,0,0,16,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c18bda144064fb5f52d8ca4abe3c8ef9",0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6026c44ce40c4c465b07e4d492755dd6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
"cf08f4cc8999cde23dda3b805bb97a3b",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b5f4cf67065337a8e82b1ab0913f593c",0,0,0,0,5,0,0,0,0,2,0,0,0,7,6,0,0,0,0,35,0,0,0,8,0,23,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,32
"304a2ed0e6ea08d911d58e07fee93eb6",0,0,0,0,0,0,3,0,0,0,0,18,0,0,5,0,28,0,0,76,0,0,0,76,0,77,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a3d3bf5631e7965f58ae62d55c018738",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e65e8cb718f9a4f74b41b48322f8c332",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11a47cf3dceac0741b58cf9b8baf0b44",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"769593636aad0c52dfffb1ca23b4a9c1",0,0,0,109,0,45,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,16,68,0,0
"ad6e93f0ad153180fec3fab93969dfb2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,31,22,0,0,0,0
"6e40041c3a2ac9c5eeece0ca91bf9c6b",0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54b8112032aa3cddc7bfd58a70cd3a07",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0
"248674cff76d2d4926066b3e46c97998",0,0,0,21,0,0,2,0,8,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,8,0,0,0,0,0,0,0,0,87,0,0,0,130,0,33,0,0
"26b7198096851ca813337eaaf86d6590",0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"434f5dd3f7b52d85a993b89d70cb0bea",0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
"e7531227d605859b2bba19867b0c15e7",0,0,0,0,0,16,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0
"bf546e57265707cefd07f127cf762568",0,0,0,0,0,0,0,0,0,8,11,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bf7421e39a210e211b0113cdd11bb20d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,143,22,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fdb0d05522b36cdaa0ac839b03a869aa",0,0,0,0,0,0,5,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,30,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a6a996ea9c8271c634726885c1462bd0",0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"db3298fae59a4c018d0b91e70155225c",11,7,17,0,5,0,0,0,0,0,0,0,0,0,0,19,0,0,7,0,0,0,0,0,0,0,9,9,76,0,3,0,0,0,0,42,0,216,21,0,0,0
"a75f2eee5b8d91d108e64f9e534bcd87",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0f4d2a1f199fda8823a22dcfb85801dc",0,0,0,0,0,0,0,0,0,1,0,1,1,8,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,7,0,0,0,0,0,0,38,0,0,24,0,0
"2122f6d3d4d78b44cbd827f07739176f",0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6297c60a27d13ea46a55dfde35cde816",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"aac93ecb18760a58c843bf07dfa52baf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
"f0b1b59601983c3c699effdc9017e699",0,0,14,0,0,0,0,0,0,0,0,11,3,0,20,0,4,0,0,0,114,265,87,4,0,12,0,0,0,0,38,2,74,0,0,0,0,0,0,0,0,0
"daec3fe52a2027d98482b11ac542652c",0,0,0,0,0,0,0,0,0,0,0,0,10,0,7,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f4be3816eed57453b4aa38434e8ba041",0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3ebcd9452485ef4430998804454add1c",0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,30,0,0,0
"98f944150e856a6abf9047072b811799",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
"dea61ed7eb96ca2f221a7f9ff3f5277d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
